drug,X_pca_gex_1,X_pca_gex_2,X_pca_gex_3,X_pca_gex_4,X_pca_gex_5,X_pca_gex_6,X_pca_gex_7,X_pca_gex_8,X_pca_gex_9,X_pca_gex_10,X_pca_gex_11,X_pca_gex_12,X_pca_gex_13,X_pca_gex_14,X_pca_gex_15,X_pca_gex_16,X_pca_gex_17,X_pca_gex_18,X_pca_gex_19,X_pca_gex_20
18β-Glycyrrhetinic acid,-35.396946,-27.154402,-8.426664,-6.442411,-4.9619994,-3.6432688,2.4615438,4.635064,-1.8423421,1.5362148,-1.7343694,2.1877322,-4.6447244,1.1933117,-2.014239,-1.1644977,0.764003,1.0047512,-3.9069352,1.9327556
5-Fluorouracil,-8.336702,17.977392,0.49501356,0.9841996,-2.2137082,6.4588747,2.2141287,1.3917906,-7.4968896,-1.0295677,2.5285833,-1.5333837,-0.8111984,-6.1670756,1.4171408,0.4616055,1.809075,2.3769674,-1.8841884,4.1557875
8-Hydroxyquinoline,-42.96869,-35.959248,-6.192937,2.9994261,-1.4984276,0.92229563,-3.1762805,-6.232664,1.7448401,-9.320058,0.021035904,2.7546384,4.709793,-0.020931046,-1.1287227,-0.71206385,0.5311199,-4.255091,-1.6352549,2.394636
AT7519,55.916485,-8.048346,-2.423515,0.6341212,5.73065,-1.2916671,0.70780075,0.96564716,0.7208198,-0.22229898,-1.1590314,-2.7346094,1.1756463,-0.25473896,-1.5834583,3.0081682,0.29589453,-1.3797716,3.8020992,-1.0849507
AZD-8055,56.12918,-0.8055556,-1.5178044,1.8924578,-3.0515738,-0.8782196,1.4892019,4.0134745,-1.0642909,-5.4546075,4.0288677,-2.1706767,-4.024209,-0.904955,-0.6793849,-0.36361766,-1.3182292,1.7663065,-2.3893933,0.28007802
AZD2858,45.916733,-4.807033,-4.882081,-20.913757,-6.0042543,-3.1588688,0.18042922,-16.082163,-0.781762,3.1541991,-31.213001,15.782557,21.966589,30.778215,-3.301687,17.857735,-4.2533035,18.785484,1.7982361,4.606704
Abiraterone acetate,-21.73883,12.544944,-0.7702495,6.141536,7.287105,1.8578818,0.6574172,-4.7696557,4.004775,1.0701822,-3.8853552,2.5212584,7.084854,2.4511626,1.6004275,-3.292116,1.0824374,-4.0341854,-1.4928999,-5.83867
Acetohexamide,-15.338129,-28.540834,-5.7628217,2.3986106,-3.484622,1.8622912,-2.683773,0.51091576,-2.2800252,1.6848103,1.1242918,-0.69332826,-2.7970521,2.3586063,1.4607489,0.33380798,-1.3026977,0.8171043,-2.338344,0.74654746
Aliskiren,-16.154747,-30.845783,-4.642042,3.7691357,-3.5192344,5.4183407,-1.4605622,0.9943335,-1.9004588,-0.85000956,2.9338918,-3.1720471,-3.2555664,1.6090701,3.5716107,-1.5568079,-1.0269121,1.313701,-2.299394,2.2707064
Alpelisib,63.38014,-1.399287,-7.1487503,5.8594837,8.302355,-15.211853,-5.792679,0.81423646,4.1237926,-8.722279,-6.8967104,-1.7069691,-7.630842,-6.551093,-4.177988,-0.96508014,8.828283,-0.31791252,-1.1393124,-7.225418
Altretamine,-22.684599,16.01028,1.294081,5.910633,0.6761927,2.0473733,1.0977525,-0.11914171,0.31956232,4.610679,-5.4783645,2.7768326,1.9354721,-0.98933953,3.5075088,-2.05765,2.108268,1.7110387,0.9181799,-3.810303
Amsacrine,-25.598618,-30.732466,-2.9959064,4.760169,-0.093858145,4.0463524,-2.2330904,-2.2837398,0.6796569,-3.1405666,2.6733994,-1.0702488,2.131069,3.0820854,1.3688399,-0.62516236,-4.1537237,-1.3014365,1.3184885,-0.5377506
Aprepitant,-28.432997,17.535872,-0.6657864,1.3563837,2.8939533,2.6830933,1.5656939,-1.8775398,2.5505328,-1.9639705,-0.9976249,4.3452353,0.933013,-7.3360906,0.800552,-7.160986,5.1032047,1.4826422,-0.38233086,-0.24927811
Belumosudil,-4.18439,14.640802,7.3158655,11.252085,-3.3293803,12.497873,1.6880722,1.4320228,-4.3299623,-0.057211604,3.3849387,-0.5327443,3.4565341,3.0493815,1.6528554,-0.9009525,-3.1320858,1.1645346,2.526856,-0.38905734
Bendamustine,-29.645653,24.672834,-3.0635695,-3.2733314,-1.940335,0.31179124,-4.905757,-7.771342,-6.1951838,-0.9317683,-2.707209,3.007737,-4.750535,-3.7332482,2.6983917,-15.403262,11.216754,-21.90704,24.457815,25.095392
Bergenin,-35.96881,-30.528984,-4.2530193,3.464219,0.3729486,0.4143996,-0.63436735,4.9716597,1.0198759,2.6065156,2.3719833,-3.2936068,-5.306393,0.4915677,-0.2635181,0.16987856,-0.56291765,1.171823,0.5318432,-0.20415671
Bexarotene,-8.825698,14.484178,1.1152462,1.8405036,-3.6868274,8.144078,1.5959197,2.6125886,-10.061358,0.40321356,-0.35409918,-1.2980181,0.7686178,-4.3978257,7.3641176,-0.9177619,-0.50010204,8.821264,-7.0931807,4.5334706
Binimetinib,19.034292,13.343072,9.874673,27.360598,-15.07225,-7.2290664,12.448104,6.430718,13.612865,-15.077955,2.832185,3.1931546,-0.24296425,9.586205,-2.9407845,0.73134905,3.1708744,-0.85274243,-4.397405,6.317864
Bortezomib,43.05332,-6.0075326,13.305086,-26.52883,-10.927218,25.526289,7.2748566,-12.372781,50.956047,14.570027,-8.599545,4.605292,-8.837036,-17.53875,19.747557,-6.7512593,-9.220158,-5.8546576,-0.8901902,-1.0125556
Bosentan (hydrate),-51.276047,23.519987,-3.2020872,-19.840427,-25.945162,-3.8545291,12.375142,-7.780867,-15.824439,-14.458131,-9.07432,-5.6047482,-21.449152,-7.39025,-10.736317,1.7398965,-24.332445,-3.6219604,21.857468,-27.814285
Brivudine,43.319542,2.631589,11.909821,-4.7990346,-6.8218374,1.9332725,11.251912,6.9083548,5.450324,-2.5582223,-2.8670359,-1.9659523,0.9403384,0.1458041,-5.49629,-0.7266964,3.7408977,6.901384,5.3380804,4.156369
Budesonide,17.048462,25.139727,1.1419742,15.219987,1.384888,1.446288,-2.69556,7.2320256,-0.37557548,14.790474,6.515125,2.8808305,3.9666533,5.607461,4.7803373,-1.0127227,-10.422898,-1.8685434,-5.500407,-2.3018448
Canagliflozin,-56.973103,25.980581,-6.343205,-11.548162,-4.9758873,-20.367926,1.9499458,-5.2888827,15.955668,-1.8162403,-3.3863063,-60.853424,19.217993,-0.35623983,0.22263962,7.559723,5.066393,0.06528119,-0.6141597,1.4389683
Capivasertib,65.187225,-3.3196201,-1.9835912,2.7850523,10.533858,-5.636962,-1.2530485,2.5365264,2.348455,0.8965784,-1.017823,-2.3497446,-3.8173566,-0.092973135,-1.5077649,-0.3225179,-1.5117081,1.8264471,6.3596244,-1.0744916
Capmatinib,60.96555,0.2964459,0.21097642,3.1220531,-4.6012163,-5.5465107,2.210143,2.2631683,3.2655907,-0.85342133,1.9939582,-1.9197884,-7.9860477,3.6452377,-2.0777276,-2.5327775,-3.935121,0.8307308,-5.9739447,5.3652406
Captopril,-17.44173,16.621058,-0.94155127,0.38823235,-0.59129703,0.30383635,6.3589973,6.9946823,-4.3801503,4.8303905,-1.7429391,-1.3592429,0.9873889,-2.5297992,-0.46334666,1.131375,2.8018694,1.4343013,0.24640103,1.2004148
Celecoxib,41.210888,-4.13837,-7.1570306,-16.326353,-9.794558,-1.5096259,3.1218712,1.7918992,-7.438937,1.5972091,-0.9742691,-0.19459431,2.2634418,0.3359204,-2.9379406,-2.1757855,-4.6129866,0.05938638,-4.675944,12.546482
Ciclopirox,-56.189007,-27.993265,-6.3415246,-4.1458645,1.2033509,-2.290273,3.4971778,2.3990304,2.0936377,-3.5245678,-1.1109245,-0.87006414,-0.05153633,-0.26004362,0.6561912,-0.950252,1.6515609,1.542347,-3.2311556,-0.27084404
Cilostazol,-31.773848,21.961075,0.4038614,5.464526,7.077618,-4.2445397,1.3889745,-1.7431455,2.4787686,8.209417,0.2728781,-1.5520465,1.0495148,4.7524567,4.4661694,-3.1310084,-11.143623,3.416831,7.1890945,-7.5328383
Clobetasol propionate,-14.671462,18.316849,-2.2938895,13.049462,-3.065039,-5.844117,-1.9156834,3.2159886,3.1859689,-4.9081326,-3.5626953,9.032433,6.006056,-11.378047,-0.6589917,3.875917,6.036086,-4.8572073,-16.402863,-5.9883676
Clofarabine,-20.40409,25.926853,1.9246216,-2.2905483,-2.7172358,-3.3329916,-7.4948297,-5.4784827,-6.240227,10.317343,-7.3349543,-1.6283014,-28.417234,18.195265,33.786804,28.84017,22.414473,-11.937563,2.4593444,-1.0500958
Clotrimazole,-8.000979,-27.635181,-3.4730082,-1.2501898,-4.1380186,3.132865,-2.6022425,-0.84001666,-2.8420944,-2.8236737,1.0858909,-1.7980363,-4.0009203,-2.5783381,1.0956708,-0.07051514,0.18337247,1.7361124,-4.1169715,2.7873454
Dabrafenib,67.91642,-10.92837,-1.1027565,-2.7059503,9.992504,4.9755077,-5.6058826,-5.809485,-1.4087123,-0.25661585,-0.14692093,-2.2097182,-0.8077377,0.25247997,-1.9403195,2.059759,-1.9246817,0.12750824,2.4022741,-3.6009262
Daidzin,-0.36956874,10.29406,5.039939,10.928083,-4.829839,14.580136,-1.1677012,-0.4736631,-3.7531426,0.6124267,4.7041626,-1.8359505,5.1639333,-0.9786897,3.2599256,-0.48459598,-2.394018,1.1013929,3.0865042,1.6370257
Dapagliflozin,10.270251,10.798171,3.6088068,13.288396,2.9934607,6.528943,0.6535106,1.0210053,-1.9266859,-2.8609636,0.41716042,-1.8128692,5.5534596,0.5142302,0.20304929,4.3262787,-0.4538226,-2.291575,1.5587219,-1.8816906
Digitoxin,-62.02727,28.016346,43.332508,-39.942917,34.053154,29.737646,9.106755,22.375074,0.63464993,-25.419207,5.3824363,-5.379878,-10.8305435,18.563145,-6.618111,3.5099263,-1.2490964,1.0640899,-9.590001,-0.31395915
