drug,X_pca_morph_1,X_pca_morph_2,X_pca_morph_3,X_pca_morph_4,X_pca_morph_5,X_pca_morph_6,X_pca_morph_7,X_pca_morph_8,X_pca_morph_9,X_pca_morph_10,X_pca_morph_11,X_pca_morph_12,X_pca_morph_13,X_pca_morph_14,X_pca_morph_15,X_pca_morph_16,X_pca_morph_17,X_pca_morph_18,X_pca_morph_19,X_pca_morph_20
18β-Glycyrrhetinic acid,-11.604707,7.9367704,-5.495157,1.6245184,-2.9120615,0.8232969,0.68787795,0.49256337,0.44906473,-1.4011744,2.0477133,-0.68962157,-0.5909858,1.8378342,-0.8436698,-1.1883038,-0.21411172,1.8497809,0.13261214,-1.184821
5-Fluorouracil,1.644404,2.1064165,14.539285,-10.115103,6.395024,3.9642215,0.2936285,-1.2904966,-4.248516,9.698555,3.2123747,2.0862398,-1.1137645,2.7878191,0.10472375,1.0065414,-2.662148,3.3805106,0.16705097,2.0235188
8-Hydroxyquinoline,-8.455859,6.7367053,4.5873384,1.2922156,-1.8855591,2.026356,4.531086,-8.315288,1.3055722,-5.7377634,4.3901534,-1.2571169,-1.6747437,-0.9457989,-3.5583932,1.7651033,-5.1585097,-2.7097974,-3.9628844,-0.47803846
AT7519,-5.8979073,3.242135,21.687557,36.526836,9.010085,-6.6967454,1.0368466,-19.704556,2.7630854,-5.7337775,8.791292,0.45820338,0.69258213,2.5232844,-4.264345,3.6988122,3.610357,-6.84367,-0.97728026,-5.372764
AZD-8055,8.934509,-3.349012,4.151516,-6.7155313,-3.8186088,6.2849307,-1.5890539,7.6759663,-3.458847,12.096878,-5.048929,3.871607,-4.8741302,-0.030966971,-0.013971415,2.8322177,3.7020392,2.7648199,-8.206073,1.2091678
AZD2858,-1.7907889,0.18974474,-10.471412,13.420775,-4.9775867,-9.456857,-4.5342712,-4.9666686,10.031512,0.11687488,6.591256,6.460201,-6.1489577,2.5593364,5.7363462,-1.3681027,-6.0969653,-1.350771,-5.9320664,2.177176
Abiraterone acetate,-8.821014,5.4265275,-4.263891,-1.9140054,-1.9171102,-1.7013209,-0.36625224,2.186576,0.60178417,-3.1913815,0.6168758,0.75608736,0.715479,3.1361654,0.8591837,1.3181262,-0.8316283,1.8553288,0.45195433,-0.43773216
Acetohexamide,-12.670902,8.747487,-5.443748,3.2396173,-4.4844756,1.4934587,0.8282765,2.6216667,1.5828624,-3.6470473,1.4578387,0.89542544,-0.33402297,0.14028426,-0.76631886,0.11528796,-0.23560467,1.0414927,0.5445273,-0.42207468
Aliskiren,-12.116355,8.318458,-6.187184,1.3963377,-2.7663817,-0.079943076,0.7000261,1.6407875,1.1625543,-3.0945516,1.4817749,0.4190634,-0.3417386,0.41708308,0.059055723,0.8417106,0.18942232,0.2514628,0.4325796,-0.1601306
Alpelisib,-6.9648256,0.8599408,-10.875349,2.935156,-7.763483,-2.9372761,0.8715237,-3.6503937,1.4342227,0.10817986,-3.336098,-3.1980479,-1.0946617,1.814506,-0.22748575,4.2910056,1.9713783,0.5522523,-0.5709089,2.301798
Altretamine,-12.397594,8.900979,-6.3356857,2.4337778,-2.4334974,1.5772506,0.93166983,1.5134716,1.6847489,-4.3955655,0.7412749,-0.38898554,-1.9264544,-1.5462532,2.16688,-0.07888475,1.4452689,-0.014553611,-0.7152403,0.26739052
Amsacrine,35.72443,-46.342133,28.983568,-18.59155,4.549065,-33.293076,-10.798689,-9.085426,-9.830908,-12.263772,-11.07874,20.503735,0.98992145,5.159105,-2.0915933,-16.347382,8.540443,-4.7158785,-0.38126346,5.096717
Aprepitant,-2.24326,1.7713214,-1.93149,-7.7695723,3.6510038,1.6302621,-0.07502226,4.2592745,-4.763567,1.805141,-4.372555,-0.91675043,-0.15736535,-1.4309648,5.4762406,1.6692076,0.89124066,-0.7700187,-2.9178643,0.96003693
Belumosudil,-6.144157,-0.8544318,-15.367845,-4.991387,-6.6635666,-5.0520797,0.23982571,3.3304138,-2.658695,-3.8601055,-0.14705865,-2.885111,5.8856473,5.2862043,1.9846287,-0.8403892,-4.465424,1.1654222,1.4039794,1.936886
Bendamustine,-14.089875,9.015054,8.077419,2.3405423,8.8675785,0.37419587,0.4631047,-3.8290946,2.8712363,-4.796537,2.840546,-4.724267,-1.7822994,-4.7256365,2.364454,-0.70582217,1.508648,-0.54061294,0.6039079,3.9984977
Bergenin,-11.343901,5.699131,-4.813979,2.263648,-2.506717,-0.4611274,-0.16354704,2.4889865,1.2236193,-1.2939527,0.91207504,-1.1858902,-0.07327556,1.6100657,-0.8517898,-0.3035437,0.22275005,2.7302408,0.54101413,0.20160118
Bexarotene,-11.294395,10.201701,0.9982374,1.146769,0.83743143,8.420959,3.657182,1.7813053,-3.2532847,0.009739144,-0.74358165,1.9990327,-0.910035,-5.4948707,1.5650008,-0.8519092,3.4568744,-1.7021787,-0.22309375,1.6564711
Binimetinib,-5.369476,7.994704,0.68059236,5.124395,-1.1087072,2.4462411,0.5006459,-5.3554287,-2.046629,5.325352,-9.333114,-4.7758303,-1.1175363,1.4706234,-8.407109,0.5723828,2.3244941,-2.4243615,0.9500775,1.4973074
Bortezomib,72.84407,-96.620605,72.3845,-9.763888,-33.34785,12.5649395,8.302071,11.508771,5.0053315,3.018808,1.5095178,-10.897223,-8.2234125,13.073257,10.056172,5.0969834,-1.6047287,-11.439288,3.5034416,0.6980967
Bosentan (hydrate),-12.607755,9.341447,-3.013166,0.30487844,0.17717361,3.0375984,2.2751298,0.28264695,0.6143199,-1.8414662,2.0704887,0.069168456,-1.6074723,-1.3661717,1.9093143,-0.5247276,1.5902169,-0.19619487,0.21610193,0.67137504
Brivudine,-12.875473,10.494735,-4.8840938,1.6234862,-1.1703569,2.700509,2.0761187,-0.4076735,0.8084121,-3.3143406,1.7511163,-0.080290124,-2.254724,-1.2374042,1.4180481,-0.27419835,0.057403278,-0.8448888,-0.24892701,0.033762034
Budesonide,-11.797256,8.759997,10.36996,7.863301,7.3255486,2.4059465,-2.7652628,5.2414927,6.7559576,2.4496188,-2.9466634,1.6019592,-2.6275392,-3.8286138,-5.3248644,-0.07607923,2.899058,-1.6731832,3.4343514,-4.8385606
Canagliflozin,-11.254848,9.461471,-6.326913,-1.9291751,-0.68224627,4.774044,2.317936,1.23871,-1.379472,-3.0398312,1.2673464,0.40238962,-1.3269753,-0.8055659,3.0481067,-0.3077036,0.46170676,-0.66001445,-0.89589095,0.17461003
Capivasertib,-6.9949336,1.9816527,-17.604279,5.7412834,-15.109392,5.874046,2.3635993,6.765383,-5.154619,-2.1697602,-7.1021214,-0.6247674,10.095293,-0.15853956,-4.51856,4.178682,2.149094,-1.6664591,1.2292727,1.4972818
Capmatinib,-8.914148,3.4524183,-3.25205,-4.6186113,-0.2402715,0.57820624,1.7168269,-1.8222553,2.7500691,-1.2163463,2.5204198,-1.2794801,0.9704294,-1.2851516,3.7786875,-1.1659672,1.4600002,0.8859501,-2.024195,0.86498475
Captopril,-12.091923,9.172124,-6.894639,1.8120543,-2.9048612,2.5408041,1.6385475,0.8663494,0.98198617,-2.0532594,3.0843506,0.47215733,-1.2992243,-0.234075,-0.4591762,-1.3541355,0.0063813035,-0.24612035,0.2219891,-1.6512529
Celecoxib,-8.383064,8.32539,-0.81377554,-7.41163,1.5247931,5.4426765,0.83704185,6.219829,-3.4369087,1.8693242,-2.676542,0.99908066,0.47457027,1.2187418,-0.39349684,-0.806182,1.5894743,1.5230808,2.6318383,-3.428892
Ciclopirox,4.653673,3.9906552,43.398552,-16.495872,12.076282,7.2362976,0.56823003,-1.9455484,-0.9839338,2.9571936,-3.7711897,2.4250863,-4.7339344,-7.290929,-8.488578,5.977844,-4.426961,-0.054420996,2.6109931,6.8677473
Cilostazol,-3.2253275,3.0484228,2.3199909,-5.804172,2.7787054,1.5484691,1.8200749,-2.4755335,-5.5132737,2.913888,0.51597255,-5.6305437,2.9332113,5.1897388,-4.159778,-6.475459,-4.1281214,-0.07214953,-1.2588383,-1.0403073
Clobetasol propionate,-9.599362,10.719853,-5.127775,-1.9906684,-2.4999955,4.3421555,1.6321428,2.9256191,-1.5398601,-1.2691344,-2.0923514,3.5488594,-3.1772792,-1.4218699,3.2589943,-0.013414252,1.679082,-2.3392732,1.4334673,-4.1657224
Clofarabine,6.110829,9.128563,43.391705,-23.048464,26.37813,-5.374919,-6.2600274,-6.3072677,-3.587767,3.8901963,-5.2773275,-0.49224225,-2.28201,-1.0638504,-2.6752524,3.7830486,-3.2208855,0.7606959,2.833732,3.8007562
Clotrimazole,-9.118232,10.46414,1.3824707,-4.067654,5.0247188,3.590299,-0.10581351,5.0242424,-1.7059767,-0.31101713,0.8394156,3.8324502,-1.5450131,1.9084,1.520222,-0.29360387,-1.0567418,-0.14937161,1.9866252,-1.2457044
Dabrafenib,-10.589446,4.507962,-0.72842836,16.979725,-4.239773,0.76979107,1.0635874,-1.025341,-1.2359033,-1.1133765,-4.3464494,-1.2017448,1.2531911,-1.8980453,-6.5634947,1.3344145,0.48847488,-4.467687,3.8603146,4.2597075
Daidzin,-12.037469,7.2844243,-6.821152,2.7756238,-5.3075695,0.39718258,1.1227274,0.99752396,1.104883,-4.114607,0.6046163,-0.49797925,0.18883453,-0.35365254,-0.12488373,0.24029598,0.42329314,0.92987907,0.74850214,-0.09365717
