compound,moa_fine,source,comp1,comp2,comp3,comp4,comp5,comp6
5-Fluorouracil,DNA synthesis/repair inhibitor,training,-1.9644913868016618,-0.6501311948128382,-0.3916903545143289,-0.12562878934312222,0.030876409140318806,1.522851311961058
AT7519,CDK inhibitor,training,2.018759808805975,-0.9714352664824722,-0.8682764156092022,-0.11917002687167301,1.4591358640406191,-7.130052680693212
AZD-8055,MTOR inhibitor,training,2.208350135870244,-0.5795026377276579,2.441109605191815,0.5987057681580499,-2.8821909401936745,2.7377049626567143
Alpelisib,PI3K/AKT inhibitor,training,4.268484588700134,0.22044421745906448,-1.082175632967829,0.41888233431580413,-0.5181206158482842,-0.9450829233405593
Altretamine,DNA synthesis/repair inhibitor,training,-1.6889261789961316,-0.8383890850978613,-1.7175512569853766,0.5763218060666015,-1.2660961119107332,0.2092029116692593
Amsacrine,DNA synthesis/repair inhibitor,training,-4.531290351676235,2.4094950678889204,4.059124652148086,-0.45295298100290493,0.41754340832337494,-1.390651374680658
Bendamustine,DNA synthesis/repair inhibitor,training,-2.80743496572071,-0.7453151128565828,-2.2950250714745057,-0.5401727752689528,0.19441531724062233,0.1481112836096214
Binimetinib,MEK inhibitor,training,2.001371406706125,-1.2248867255578515,0.15901102481105972,0.9359440058068147,-1.151162371493686,-2.034471373606239
Capivasertib,PI3K/AKT inhibitor,training,3.668768072970245,0.2908550066918239,2.972820901015173,0.2099045945659896,-3.6900145473363346,1.017663476612887
Celecoxib,Cyclooxygenase inhibitor,training,0.7326077015350306,-0.8062799390335581,-0.08060726070465724,1.0165269887244441,-1.915877921310316,2.4551613092583735
Clofarabine,DNA synthesis/repair inhibitor,training,-4.461420238463624,0.9465113261754371,-1.577698283357454,-0.33674527271775656,-0.1324942195290641,-3.736729881426381
Dabrafenib,RAF inhibitor,training,3.2227056648857735,-0.704203542021689,2.3909352924427334,0.4471791095365612,-0.6219067841326971,-1.7120639519436305
Encorafenib,RAF inhibitor,training,5.1182228371778455,-1.483564211884025,2.3526166192395155,0.6110989180455081,13.14713014644279,2.987150167377351
Erdafitinib,Other TK inhibitor,training,2.1801807159929343,18.497171700742438,-0.8663543233699368,-0.9080403065787979,-0.40049812297380866,3.55767777860618
Gallic acid,Cyclooxygenase inhibitor,training,-3.013349601217088,-0.5441357221822435,0.11189097525303239,0.5950163464863266,-1.1966080332747553,1.6330605905276019
Glasdegib,Sonic inhibitor,training,0.7518521181606647,-1.2687077417862536,-0.9246593227043679,0.1524252977702203,-1.1556909520229868,2.137901170633567
Idoxuridine,DNA synthesis/repair inhibitor,training,-3.338304469426694,-0.9330338646043016,-1.6540996077303607,1.0135930128902795,-1.9791562987552982,2.137918823388866
Infigratinib,Other TK inhibitor,training,3.4774731078639007,1.6027728152544987,0.16084994867782257,-0.3926669299170462,4.4605685163381,0.8357653188636645
Ipatasertib,PI3K/AKT inhibitor,training,0.7497818225290906,-0.46551558921747394,1.7456222599501157,1.1162089813056792,-1.6868866740014379,0.49770385663247935
Irinotecan,DNA synthesis/repair inhibitor,training,2.6147538289372143,0.33592794669121084,-1.0532300454112262,-0.758487987860367,2.268128210866314,-4.021087109278873
LY-2584702 (tosylate salt),MTOR inhibitor,training,1.3587848079766365,0.07855939027245162,-0.8091689433008037,0.21764467774553262,-2.562904915674658,2.0970516111684527
Larotrectinib sulfate,Other TK inhibitor,training,0.4332932248784248,-0.7249928485570538,-1.8609095847094448,-0.45687885804489664,-0.5061113050872545,1.851211954009452
Mebendazole,Microtubule inhibitor,training,-5.774494913156504,-1.2769047660740804,1.9545279687449233,-14.774041047074984,0.529030584830475,2.6074406191178423
Methotrexate,DNA synthesis/repair inhibitor,training,-1.3250835814463955,-1.2862310863072135,-2.2722952368818796,0.09799677681380728,2.008367344478496,-1.5747505046245944
OTS514,Other MAPK inhibitor,training,1.6399146440713093,1.497120739213453,-1.0927257897659357,0.5361877674653174,1.8835658202115177,-9.535676751144328
PF-06260933,Other MAPK inhibitor,training,1.5568250638539292,-0.9812661582749599,-1.089861288353449,0.6973462628416001,1.0837167449662777,1.0821002659280115
PH-797804,Other MAPK inhibitor,training,0.7400293006970134,-1.1224250149190145,0.005489803467129722,0.5870700032399637,-0.20146185019187823,0.25953642158833407
Paclitaxel,Microtubule inhibitor,training,5.120573118621875,-1.0966902780210799,4.236802284294802,-1.0682690219930255,-1.4128150805847597,-9.13707197314835
Pemetrexed,DNA synthesis/repair inhibitor,training,-2.700639971852084,-0.8863279156213837,-2.3637574463143105,0.04923548655523662,0.4552475676423701,0.8192950118565256
Ralimetinib dimesylate,Other MAPK inhibitor,training,2.5876916638224077,0.32826043575432323,-2.171669416980425,0.5429120405854598,2.0097859549503436,2.254452395814178
Raltitrexed,DNA synthesis/repair inhibitor,training,-3.8350774146058124,0.28230791129014915,-0.11339415925718199,0.03772322089386292,-0.08239326307076501,-1.1608680680147223
Rapamycin,MTOR inhibitor,training,-2.963878300895948,-0.6417513980743433,1.9319529796491461,0.7617276652113882,-2.7137928555662003,3.0141902857018366
Ribociclib,CDK inhibitor,training,-0.5306856186273802,-0.20790557937092474,-1.3746288313792236,-0.31117399684296426,-1.2423011318303392,1.117989089740326
Rucaparib (phosphate),DNA synthesis/repair inhibitor,training,-3.101653266371714,-0.3560042391299379,-1.809985408158329,0.03520576593135233,0.2760390228312737,-0.7685944499283867
Sapanisertib,MTOR inhibitor,training,2.5956490257438447,-0.2669227294279397,3.979463954086924,1.6057459245255061,-3.395055811810199,-1.9061067915478898
Sonidegib,Sonic inhibitor,training,1.2438127055500228,-1.217313305836056,-1.6249594292617588,0.5556660844372096,0.5768915820365539,0.5700404764184223
TAK-733,MEK inhibitor,training,4.043264069832666,-0.09894835868019529,-0.3086673634500509,0.2811258665139306,-1.6226099578370035,-0.8524356615479207
Torkinib,MTOR inhibitor,training,3.1515780214067157,-0.8059630237525403,1.512376013578197,0.33439221732279595,1.0923434111464965,4.804961734357344
Trametinib (DMSO_TF solvate),MEK inhibitor,training,0.5789041694698751,-0.9550602124250661,-0.8173883584793817,1.1238312357312195,-1.502796463706499,-1.3086000723621503
Trimetrexate,DNA synthesis/repair inhibitor,training,-5.165020350171022,0.6215709925081283,-0.10378410555405555,0.8797720214835579,0.518526132417739,-2.6133535583812204
Valdecoxib,Cyclooxygenase inhibitor,training,-0.7232508723233543,-0.9187585799987369,-1.7378602343600524,0.8434598368272666,-1.3317445973577853,1.065230671521195
Vemurafenib,RAF inhibitor,training,4.109448070124043,-0.5459055834565089,1.8291431994105034,0.38040064378561145,0.2020523291154688,2.9076221182915813
Vinblastine (sulfate),Microtubule inhibitor,training,-6.035019682687731,-0.2200638277298562,2.219420367706187,-1.5061266459602967,-0.70715510256686,1.14128205849598
Vismodegib,Sonic inhibitor,training,0.08379552605262523,-1.429830820470034,-1.8951115781654069,-0.09602072670558945,-0.18277383198999633,0.8346467947076601
olaparib,DNA synthesis/repair inhibitor,training,2.914561953907926,-1.126833145896641,-1.715835239098144,-0.8275730438977441,0.16726310227758506,-0.042720248883371253
palbociclib,CDK inhibitor,training,3.15157815311776,-0.5743470253046818,-1.251616279837541,-0.8654830123798851,-0.9384098314331348,1.0631455083630512
Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,training,-14.362994164822151,0.8445489806511808,2.861828418469449,6.2801807608771165,4.2184021221937,0.502247395674633
18β-Glycyrrhetinic acid,unclear,projected,-3.305936362215762,-0.6362546104270995,0.6364624133008692,1.2561135408659851,-0.6144629114211019,-0.012800799783389955
8-Hydroxyquinoline,unclear,projected,-4.214099736913532,1.0015763410746215,-0.32842684790171256,0.616021295498852,-0.7646459625802189,-1.026951920785219
Abiraterone acetate,unclear,projected,-2.0541241679192135,0.07493292524284875,-0.197094681925945,0.16710719099727236,-0.04218150249660496,0.7695894234757795
Acetohexamide,unclear,projected,-2.4169954117785526,0.20656159971139976,0.3631157009954422,1.026174913898492,-0.6951530151873871,1.1885117714293354
