drug,X_scvi_morph_1,X_scvi_morph_2,X_scvi_morph_3,X_scvi_morph_4,X_scvi_morph_5,X_scvi_morph_6,X_scvi_morph_7,X_scvi_morph_8,X_scvi_morph_9,X_scvi_morph_10,X_scvi_morph_11,X_scvi_morph_12,X_scvi_morph_13,X_scvi_morph_14,X_scvi_morph_15,X_scvi_morph_16,X_scvi_morph_17,X_scvi_morph_18,X_scvi_morph_19,X_scvi_morph_20
18β-Glycyrrhetinic acid,-0.14709833,0.96288055,0.40581164,2.6614432,1.1448085,2.1123683,0.6649679,0.038519233,2.4199889,0.23771289,2.1330757,0.6835584,-0.122487396,0.061067045,-0.73456883,-1.0753431,-1.1461581,-1.7304788,1.6446369,-0.41471452
5-Fluorouracil,0.027332425,1.101521,-1.3169675,-0.60135645,-0.044118106,-1.0093918,1.1970048,-1.346935,-0.6632818,0.48374835,0.8060121,0.33316064,1.0939367,-0.3528421,1.8569987,2.2398071,1.2260023,-0.5921198,-2.3104572,-1.3198109
8-Hydroxyquinoline,-0.66743684,0.35918617,0.11394306,-0.029451013,0.8296269,0.49863952,0.39654535,-0.6921067,0.6697358,0.123482674,0.19073406,0.37534195,-0.030734539,0.056887984,0.25240627,1.0731742,0.6690354,-1.2122421,-0.5206877,-0.00598228
AT7519,0.23495328,1.513102,1.4284234,-0.9046757,0.9537674,-1.5884786,-2.7974572,0.8389592,-3.951122,0.53655887,-2.1719775,-1.423886,0.6580327,3.0260081,0.008509994,3.3788865,1.3227805,-0.7804327,-3.6522532,0.51367503
AZD-8055,0.5789337,1.7883098,-1.0024623,0.12862581,-0.46398658,-0.2628797,0.6841482,-0.492809,0.5843343,1.208091,2.959353,0.625242,0.20411652,-2.2072225,1.2463782,-0.7729923,-0.457856,-0.008618057,0.2025921,-1.5385256
AZD2858,0.069903135,1.939352,0.7023959,1.6926395,-0.11252153,1.2197806,-1.2246027,0.15939167,1.2933177,0.7786381,1.9169421,-0.3901679,-0.8853625,-0.051858544,-0.6050613,-2.4466858,-1.8796593,-0.113594085,1.5217716,-1.0023575
Abiraterone acetate,-0.12987882,1.0799329,0.26362613,2.2852225,0.72451603,1.5690603,0.6944312,0.11635637,2.0179436,0.5075141,2.3363848,0.6514824,0.042936623,-0.102365315,-0.0019906163,-1.0191498,-1.1004871,-1.2924011,1.243396,-0.5190845
Acetohexamide,0.062025607,1.0229552,0.64068913,3.0585198,1.4411241,2.2456398,0.52593577,0.37814924,2.3617074,0.36165196,2.2852335,0.8084487,-0.15016568,0.16495669,-0.9310576,-1.2575186,-1.3421494,-1.9091809,1.6563277,0.15388814
Aliskiren,-0.03598833,0.9675464,0.60757416,2.7828856,1.1882272,2.096174,0.47844267,0.2791904,2.3292165,0.36867547,2.2697802,0.77709675,-0.11193326,0.14354438,-0.6246152,-1.2124314,-1.2800404,-1.7503405,1.571208,-0.078810096
Alpelisib,-0.07430163,1.683819,0.5813072,2.2163925,0.5681129,1.775798,-0.2964905,0.13885033,2.0200765,0.8591039,2.672402,0.15428558,-0.8383227,-0.51177067,-0.5841706,-2.3282204,-1.8829693,-0.77017766,1.9512923,-0.61873394
