STANDARD_NAME	GOBP_RESPONSE_TO_TOXIC_SUBSTANCE
SYSTEMATIC_NAME	M15317
COLLECTION	C5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_TOXIC_SUBSTANCE
NAMESPACE	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxic stimulus. [GOC:lr]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0009636
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0009636
SOURCE_MEMBERS	100126316,10057,10058,10202,10249,10314,10327,10516,10549,10587,1066,10715,10765,10786,10928,10935,10966,11093,11185,11254,11280,11315,114112,114757,1192,1193,119391,1244,1267,127,127700,128,1291,1312,132,1356,1371,1373,137902,140803,140809,145226,146802,1543,1545,154791,1572,161823,1644,1665,171425,1719,1728,1788,1813,1906,1909,196,2052,2053,2074,2098,210,211,213,216,2168,217,222962,22977,23028,23063,23135,23256,2353,23657,241,2560,257202,25824,25841,259,25953,26034,2643,26471,27244,27429,2876,2877,2878,2879,2880,2882,2890,2936,2938,2944,2946,2947,2950,2952,2954,2984,29914,3029,3039,3040,3043,3240,326343,337,343,347862,348,3625,366,373156,3746,3747,3934,4025,4056,4067,406904,406917,406922,406961,406962,407041,407046,4131,4151,4155,4257,4258,4259,4353,4357,4363,442890,442900,445,4489,4490,4493,4494,4495,4496,4499,4501,4502,4504,4519,4583,468,4747,4780,4846,493869,4985,5002,50506,5052,5071,51024,51109,51714,5174,5179,5243,5292,538,540,5444,5445,5446,54575,54577,54658,549,54996,55244,55532,5578,5581,5582,55829,55937,57016,57165,573971,5742,5743,574411,574453,574513,578,5783,581,5888,596,6280,6327,6335,6348,6351,6352,64116,6415,642,64359,645745,64757,65018,6532,655,6556,6565,6571,6573,6580,6581,6582,6584,6647,6648,6649,670,6715,6722,7001,7124,7173,7274,7295,7296,7311,7507,7779,7782,7837,79849,8288,8303,83667,84203,84293,84560,847,84817,84883,8802,8803,8824,891,8934,89872,8989,9076,9131,9376,9403,94241,9429,9446,948,9536,9588,9619,983,9963,9973,999
GENE_SYMBOLS	MIR873,ABCC5,ABCB6,DHRS2,GLYAT,LANCL1,AKR1A1,FBLN5,PRDX4,TXNRD2,CES1,CERS1,KDM5B,SLC17A3,RALBP1,PRDX3,RAB40B,ADAMTS13,INMT,SLC6A14,SCN11A,PARK7,TXNRD3,CYGB,CLIC1,CLIC2,GSTO2,ABCC2,CNP,ADH4,OSCP1,ADH5,COL6A1,COMT,ADK,CP,CPOX,CPS1,PXDNL,TRPM6,SRXN1,RDH12,SLC47A2,CYP1A1,CYP1B1,FMC1,CYP2F1,MAPDA,DDC,DHX15,CLYBL,DHFR,NQO1,DNMT3A,DRD2,EDN1,EDNRA,AHR,EPHX1,EPHX2,ERCC6,ESD,ALAD,ALAS1,ALB,ALDH1A1,FABP1,ALDH2,SLC29A4,AKR7A3,KDM1A,WAPL,KDM6B,SCFD1,FOS,SLC7A11,ALOX5AP,GABRB1,GPX6,PRDX5,ABTB2,AMBP,PNKD,IPCEF1,GCH1,NUPR1,SESN1,HTRA2,GPX1,GPX2,GPX3,GPX4,GPX5,GPX7,GRIA1,GSR,GSTA1,GSTM1,GSTM2,GSTM3,GSTP1,GSTT1,GSTZ1,GUCY2C,UBIAD1,HAGH,HBA1,HBA2,HBB,HP,MT1DP,APOA4,AQP8,GATD1,APOE,INHBB,AQP9,GSTK1,KCNC1,KCNC2,LCN2,LPO,LTC4S,LYN,MIR1-1,MIR129-1,MIR133A1,MIR185,MIR186,MIR34B,MIR9-1,MAP1B,MB,MBP,MGST1,MGST2,MGST3,MPO,MPST,ABCC1,MIR133B,MIR326,ASS1,MT1A,MT1B,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MT3,MT-CYB,MUC2,ATF4,NEFL,NFE2L2,NOS3,GPX8,OPRD1,SLC67A1,DUOX2,PRDX1,PRKN,FIS1,RDH11,SELENOT,PDZK1,PENK,ABCB1,PIM1,ATP7A,ATP7B,PON1,PON2,PON3,UGT1A10,UGT1A7,UGT1A1,AUH,MTARC2,SLC47A1,SLC30A10,PRKCA,PRKCE,PRKCG,SELENOS,APOM,AKR1B10,GJC2,DHFRP1,PTGS1,PTGS2,MIR451A,MIR495,MIR508,BAK1,PTPN13,BAX,RAD51,BCL2,S100A9,SCN2B,SCN9A,CCL3,CCL4,CCL5,SLC39A8,SELENOW,BLMH,NXN,MT1HL1,MTARC1,PINK1,SLC6A4,BMP7,SLC11A1,SLC15A2,SLC18A2,SLC19A1,SLC22A1,SLC22A3,SLC22A2,SLC22A5,SOD1,SOD2,SOD3,BPHL,SRD5A1,SRF,PRDX2,TNF,TPO,TTPA,TXN,TXNRD1,UBA52,XPA,SLC30A1,SLC30A4,PXDN,NHERF4,EPX,SNN,SESN2,TXNDC2,PRXL2A,MT4,CAT,TXNDC17,AIFM2,SUCLG1,SUCLA2,CES2,CCNB1,RAB29,AQP10,TRPA1,CLDN1,AIFM1,SLC22A8,SELENOF,TP53INP1,ABCG2,GSTO1,CD36,PTGES,PRDX6,ABCG1,CDK1,SLC23A1,CCS,CDH1
FOUNDER_NAMES	
