component,block,feature,loading
1,gex,CLPB,0.3235324979685363
1,gex,RRAD,0.2766770153370408
1,gex,PSAT1,0.25784050349716986
1,gex,AKR1C1,0.2551107011889683
1,gex,FERMT2,0.24480270948293428
1,gex,JPH2,0.22559112810203463
1,gex,MT1G,0.20207792828119964
1,gex,ZNF853,0.1991915573693771
1,gex,XPOT,0.1957432089969256
1,gex,DISC1FP1,0.19118498096999623
1,gex,RHOB,0.18881796483091712
1,gex,ENPP1,0.18309763863771003
1,gex,FSIP2-AS1,0.18205817605136188
1,gex,GFOD1,0.17854688623337375
1,gex,LINC01515,0.17753935347326844
1,gex,MYC,0.16863716349393415
1,gex,LINC02348,0.16596846453785116
1,gex,AKR1C3,0.1577003079285674
1,gex,PPARGC1A,0.1452589648101803
1,gex,SLC44A5,0.1344979883942576
1,gex,PIEZO2,0.12398939415854059
1,gex,GRB14,0.10401829984349391
1,gex,UGT2B7,0.10138813011992388
1,gex,ART4,0.10043205827507017
1,gex,SCN9A,0.09996256081263212
1,gex,JUNB,0.0865365261014637
1,gex,CUTC,0.08547907714322989
1,gex,FAAH2,0.0791733408476269
1,gex,MID1,0.07904893022742479
1,gex,NLRC5,0.0789727613975751
1,gex,RCAN1,0.07580838582979849
1,gex,DAG1,0.0733629074876525
1,gex,PHF14,0.07169756931351075
1,gex,TMED2,0.06864884447592419
1,gex,AARS1,0.05850857329351353
1,gex,SKIL,0.05827829768203913
1,gex,ZNF556,0.057543548383339936
1,gex,LINC02463,0.057437561972997944
1,gex,PUS1,0.04547746047278156
1,gex,CEBPG,0.03949985616665287
1,gex,BATF,0.03896626856381234
1,gex,PGLS-DT,0.03834746207840293
1,gex,ADGRD1,0.03633963453334349
1,gex,PLIN2,0.03469396725219292
1,gex,WWOX,0.023963593500109223
1,gex,TBC1D16,0.019613994382910185
1,gex,SORBS2,0.018609334438978088
1,gex,CLGN,0.01207571234203118
1,gex,MARCHF3,0.011385889456702485
1,gex,FGGY,0.0037011886643184503
1,morph,Nuc_RadialDistribution_RadialCV_DNA_4of4,0.5646224735936866
1,morph,Nuc_Texture_InfoMeas1_DNA_5_01_256,-0.5067445709077063
1,morph,Nuc_AreaShape_Zernike_8_4,0.3960334379767103
1,morph,Nuc_AreaShape_Zernike_9_3,0.33779836841228483
1,morph,Nuc_Texture_InfoMeas2_DNA_10_01_256,0.32078864458433193
1,morph,Cyto_Texture_SumEntropy_DNA_3_01_256,0.1526433939449496
1,morph,Cyto_Texture_AngularSecondMoment_DNA_10_01_256,-0.11675459904305088
1,morph,Cells_Texture_InfoMeas2_DNA_10_03_256,0.11196673262194767
1,morph,Cells_Texture_AngularSecondMoment_DNA_3_00_256,-0.02841378616974394
1,morph,Cyto_RadialDistribution_RadialCV_DNA_4of4,0.01674190566610422
2,gex,LEAP2,-0.3294082073696756
2,gex,SLC5A9,-0.30651619982972195
2,gex,HJV,-0.29660627450497906
2,gex,LTB,-0.28898633253045636
