gene,highly_variable
TSPAN6,False
TNMD,False
DPM1,False
SCYL3,False
C1orf112,False
FGR,True
CFH,False
FUCA2,False
GCLC,True
NFYA,False
STPG1,False
NIPAL3,False
LAS1L,False
ENPP4,False
SEMA3F,False
CFTR,False
ANKIB1,False
CYP51A1,False
KRIT1,False
RAD52,False
MYH16,True
BAD,False
LAP3,True
CD99,False
HS3ST1,False
AOC1,False
WNT16,False
HECW1,False
MAD1L1,True
LASP1,False
SNX11,False
TMEM176A,False
M6PR,False
KLHL13,False
CYP26B1,True
ICA1,False
DBNDD1,False
ALS2,False
CASP10,False
CFLAR,True
TFPI,False
NDUFAF7,False
RBM5,False
MTMR7,True
SLC7A2,False
ARF5,False
SARM1,True
POLDIP2,False
PLXND1,False
AK2,False
CD38,True
FKBP4,True
KDM1A,False
RBM6,False
CAMKK1,False
RECQL,False
VPS50,False
HSPB6,False
ARHGAP33,False
NDUFAB1,False
PDK4,False
SLC22A16,True
ZMYND10,False
ABCB5,True
ARX,False
SLC25A13,False
ST7,True
CDC27,False
SLC4A1,False
CALCR,True
HCCS,False
DVL2,False
PRSS22,False
UPF1,False
SKAP2,False
SLC25A5,False
MCUB,False
HOXA11,False
POLR2J,False
DHX33,False
MEOX1,False
THSD7A,True
LIG3,False
RPAP3,False
ACSM3,True
REXO5,False
CIAPIN1,False
SPPL2B,False
ATOSB,False
COPZ2,False
PRKAR2B,False
MSL3,False
CREBBP,False
TSPOAP1,True
MPO,False
PON1,False
GCFC2,False
WDR54,False
CROT,False
ABCB4,False
KMT2E,False
RHBDD2,False
SOX8,True
IBTK,False
ZNF195,False
MYCBP2,False
FBXL3,False
ITGAL,False
PDK2,False
ITGA3,False
ZFX,False
LAMP2,False
ITGA2B,True
ASB4,False
GDE1,False
REX1BD,False
CRLF1,False
OSBPL7,False
TMEM98,False
YBX2,False
KRT33A,False
MAP3K14,False
ABCC8,False
CACNG3,False
TMEM132A,False
AP2B1,False
TAC1,False
ZNF263,False
CX3CL1,True
SPATA20,False
CACNA1G,True
TNFRSF12A,False
DLX6,False
MAP3K9,False
RALA,False
BAIAP2L1,False
KDM7A,False
ETV1,False
AGK,False
ALDH3B1,False
TTC22,False
PHTF2,False
CCL26,True
FARP2,True
USH1C,False
GGCT,False
DBF4,False
TBXA2R,False
IFRD1,False
LGALS14,False
COX10,False
GTF2IRD1,False
PAF1,False
VPS41,False
ARHGAP44,True
ELAC2,False
SCIN,True
ARSD,False
PNPLA4,False
MYH13,False
ADIPOR2,False
CDKL3,False
UPP2,True
PRSS21,False
MARK4,False
PROM1,False
CCDC124,False
CEACAM21,False
PAFAH1B1,False
NOS2,False
DNAH9,False
BLTP2,False
SLC13A2,False
GAS7,False
TRAPPC6A,False
MATK,False
CEACAM7,False
CD79B,False
SCN4A,False
ST7L,False
TKTL1,False
PAX6,False
RPUSD1,False
RHBDF1,False
LUC7L,False
CACNA2D2,True
BAIAP3,False
TSR3,False
PIGQ,False
CRAMP1,False
TEAD3,False
SELE,True
DNAJC11,False
FMO3,False
MYLIP,False
NOX1,False
E2F2,False
PSMB1,False
SYN1,True
JARID2,False
CDKL5,True
CAMK1G,True
CDK11A,False
NADK,False
TFAP2B,False
TFAP2D,False
DLEC1,False
CYTH3,False
ADAM22,True
SYPL1,False
CYB561,False
SPAG9,False
CELSR3,True
AASS,False
PLEKHG6,False
SS18L2,False
MPND,False
MGST1,True
CRY1,True
PGLYRP1,False
NFIX,False
ST3GAL1,True
MMP25,True
IL32,False
PKD1,True
MAPK8IP2,False
MED24,False
RHOBTB2,False
HEATR5B,True
SEC62,False
RPS20,True
CSDE1,False
UBE3C,False
REV3L,False
TENM1,True
PAX7,False
MASP2,False
IYD,False
FAM76A,False
TRAF3IP3,False
POMT2,False
VTA1,False
MLXIPL,False
BAZ1B,False
RANBP9,False
ETV7,True
SPRTN,False
METTL13,False
DYRK4,False
ZNF207,False
UQCRC1,False
STARD3NL,False
CD9,True
HHATL,True
NCAPD2,False
IFFO1,False
GIPR,False
PHF7,False
SEMA3G,True
NISCH,False
STAB1,False
FUZ,False
SLC6A13,True
IDS,True
PRSS3,False
ZNF200,False
CD4,False
LRRC23,True
BTK,True
HFE,False
SCMH1,False
FYN,False
HIVEP2,True
FMO1,False
ELOA,False
LYPLA2,False
CLCN6,False
MRC2,True
NME1-NME2,False
SLC6A7,False
TSPAN9,False
BTBD7,False
APBA3,False
MKS1,False
ABHD5,True
ANOS1,False
AKAP8L,False
MBTD1,False
UTP18,False
RNF216,False
TTC19,False
PTBP1,False
DPF1,False
SYT7,True
LARS2,False
PIK3C2A,False
PLAUR,False
ANLN,True
WIZ,False
RABGAP1,False
DCN,True
QPCTL,False
PPP5C,False
CEP68,False
MAP4K3,False
ZBTB32,False
TYROBP,True
LDAF1,False
GABRA3,False
BRCA1,False
ERCC1,True
CD22,True
SEMA3B,False
MBTPS2,False
PRICKLE3,False
LTF,False
EXTL3,False
NR1H4,True
ELOVL5,False
ALOX5,False
KDM5D,False
CALCOCO1,False
UBR7,False
MAP4K5,False
EHD3,False
PSMC4,True
MAN2B2,False
SLC7A14,False
CLDN11,False
SLC25A39,False
MVP,False
NUB1,False
PGM3,True
RWDD2A,False
CLK1,False
POLR3B,False
