drug,moa_fine
18β-Glycyrrhetinic acid,unclear
5-Fluorouracil,DNA synthesis/repair inhibitor
8-Hydroxyquinoline,unclear
AT7519,CDK inhibitor
AZD-8055,MTOR inhibitor
AZD2858,GSK3 inhibitor
Abiraterone acetate,unclear
Acetohexamide,unclear
Aliskiren,unclear
Alpelisib,PI3K/AKT inhibitor
Altretamine,DNA synthesis/repair inhibitor
Amsacrine,DNA synthesis/repair inhibitor
Aprepitant,unclear
Belumosudil,unclear
Bendamustine,DNA synthesis/repair inhibitor
Bergenin,unclear
Bexarotene,Retinoic receptor agonist
Binimetinib,MEK inhibitor
Bortezomib,Proteasome inhibitor
Bosentan (hydrate),unclear
Brivudine,unclear
Budesonide,Glucocorticoid receptor agonist
Canagliflozin,Glucose transporter inhibitor
Capivasertib,PI3K/AKT inhibitor
Capmatinib,EGFR/ERBB inhibitor
Captopril,unclear
Celecoxib,Cyclooxygenase inhibitor
Ciclopirox,unclear
Cilostazol,unclear
Clobetasol propionate,unclear
Clofarabine,DNA synthesis/repair inhibitor
Clotrimazole,unclear
Dabrafenib,RAF inhibitor
Daidzin,unclear
Dapagliflozin,Glucose transporter inhibitor
Digitoxin,unclear
Drospirenone,unclear
EX229,unclear
Encorafenib,RAF inhibitor
Erdafitinib,Other TK inhibitor
Erythromycin,unclear
Fenofibrate,unclear
Filgotinib,JAK/STAT inhibitor
Finasteride,unclear
Fluvoxamine (maleate),unclear
Gallic acid,Cyclooxygenase inhibitor
Gemfibrozil,unclear
Glasdegib,Sonic inhibitor
Hexylresorcinol,unclear
Homoharringtonine,Protein synthesis inhibitor
Idoxuridine,DNA synthesis/repair inhibitor
Infigratinib,Other TK inhibitor
Ipatasertib,PI3K/AKT inhibitor
Irinotecan,DNA synthesis/repair inhibitor
Ixazomib,Proteasome inhibitor
LY-2584702 (tosylate salt),MTOR inhibitor
LY2090314,GSK3 inhibitor
Larotrectinib sulfate,Other TK inhibitor
Lopinavir,unclear
MK-3903,unclear
Macitentan,unclear
Mebendazole,Microtubule inhibitor
Medroxyprogesterone acetate,unclear
Menadione,unclear
Methotrexate,DNA synthesis/repair inhibitor
Mifepristone,unclear
Mozavaptan,unclear
Neratinib,EGFR/ERBB inhibitor
Nevirapine,unclear
OTS514,Other MAPK inhibitor
Olanzapine,unclear
Omeprazole,unclear
Orlistat,unclear
PF-06260933,Other MAPK inhibitor
PH-797804,Other MAPK inhibitor
Paclitaxel,Microtubule inhibitor
Pemetrexed,DNA synthesis/repair inhibitor
Pentagastrin,unclear
Pentamidine (isethionate),unclear
Pimozide,unclear
Ponatinib,Multi-TK inhibitor
Posaconazole,unclear
Pravastatin (sodium),unclear
Ralimetinib dimesylate,Other MAPK inhibitor
Raltitrexed,DNA synthesis/repair inhibitor
Rapamycin,MTOR inhibitor
Regorafenib,Multi-TK inhibitor
Relugolix,unclear
Retinoic acid,Retinoic receptor agonist
Ribociclib,CDK inhibitor
Ritonavir,unclear
Rosiglitazone,unclear
Rucaparib (phosphate),DNA synthesis/repair inhibitor
Sapanisertib,MTOR inhibitor
Silodosin,unclear
Sonidegib,Sonic inhibitor
Sulfisoxazole,unclear
TAK-733,MEK inhibitor
Tadalafil,unclear
Terfenadine,unclear
Tofacitinib,JAK/STAT inhibitor
Tolcapone,unclear
Tomivosertib,Protein synthesis inhibitor
Torkinib,MTOR inhibitor
Trametinib (DMSO_TF solvate),MEK inhibitor
Tranilast,unclear
Triclosan,unclear
Trimetrexate,DNA synthesis/repair inhibitor
Valdecoxib,Cyclooxygenase inhibitor
Vemurafenib,RAF inhibitor
Vinblastine (sulfate),Microtubule inhibitor
Vismodegib,Sonic inhibitor
Voriconazole,unclear
Vortioxetine,unclear
Zileuton,unclear
olaparib,DNA synthesis/repair inhibitor
palbociclib,CDK inhibitor
venetoclax,unclear
Idarubicin (hydrochloride),DNA synthesis/repair inhibitor
