,18β-Glycyrrhetinic acid,5-Fluorouracil,8-Hydroxyquinoline,AT7519,AZD-8055,AZD2858,Abiraterone acetate,Acetohexamide,Aliskiren,Alpelisib,Altretamine,Amsacrine,Aprepitant,Belumosudil,Bendamustine,Bergenin,Bexarotene,Binimetinib,Bortezomib,Bosentan (hydrate),Brivudine,Budesonide,Canagliflozin,Capivasertib,Capmatinib,Captopril,Celecoxib,Ciclopirox,Cilostazol,Clobetasol propionate,Clofarabine,Clotrimazole,Dabrafenib,Daidzin,Dapagliflozin,Digitoxin,Drospirenone,EX229,Encorafenib,Erdafitinib,Erythromycin,Fenofibrate,Filgotinib,Finasteride,Fluvoxamine (maleate),Gallic acid,Gemfibrozil,Glasdegib,Hexylresorcinol,Homoharringtonine,Idoxuridine,Infigratinib,Ipatasertib,Irinotecan,Ixazomib,LY-2584702 (tosylate salt),LY2090314,Larotrectinib sulfate,Lopinavir,MK-3903,Macitentan,Mebendazole,Medroxyprogesterone acetate,Menadione,Methotrexate,Mifepristone,Mozavaptan,Neratinib,Nevirapine,OTS514,Olanzapine,Omeprazole,Orlistat,PF-06260933,PH-797804,Paclitaxel,Pemetrexed,Pentagastrin,Pentamidine (isethionate),Pimozide,Ponatinib,Posaconazole,Pravastatin (sodium),Ralimetinib dimesylate,Raltitrexed,Rapamycin,Regorafenib,Relugolix,Retinoic acid,Ribociclib,Ritonavir,Rosiglitazone,Rucaparib (phosphate),Sapanisertib,Silodosin,Sonidegib,Sulfisoxazole,TAK-733,Tadalafil,Terfenadine,Tofacitinib,Tolcapone,Tomivosertib,Torkinib,Trametinib (DMSO_TF solvate),Tranilast,Triclosan,Trimetrexate,Valdecoxib,Vemurafenib,Vinblastine (sulfate),Vismodegib,Voriconazole,Vortioxetine,Zileuton,olaparib,palbociclib,venetoclax,Idarubicin (hydrochloride)
Nuc_AreaShape_BoundingBoxArea,-0.009029667,-0.29807296,1.6832482,10.118523,-2.5258484,1.5693455,-0.23445284,-0.021032551,-0.10446429,-0.84696865,0.34291932,1.2993575,-0.8788231,-1.6241193,5.9519515,-0.036542114,0.55075365,0.1941949,-2.2553964,0.38889852,0.38671973,3.3838997,-0.22993428,-1.714591,0.01773522,-0.067568034,-0.79286104,3.3066933,0.09997923,-0.5447301,3.363822,0.16591187,1.4851003,0.0667234,-0.17343445,9.5887785,0.36116704,-0.9736929,-3.693477,-4.970537,-0.10879487,-0.09831443,6.6649356,0.034783065,-0.68613,0.16368593,0.27636194,-0.0273468,-0.26910806,5.1737647,-0.45362675,-1.3801998,-0.8649273,2.1079466,-0.2590312,-0.5519932,3.4240055,0.18615037,-0.6698765,-1.7700752,-0.19950366,4.1141143,0.36586964,0.6838003,2.9368775,-1.2163583,6.422874,-1.3464977,-0.055544745,5.216289,-0.3621815,0.06574649,-0.8388762,-0.98488516,0.23022054,6.368023,1.2622204,-0.33415225,-0.18385671,-3.838153,-5.335631,-2.2420652,0.09819595,-2.1523128,1.9015661,-0.63192254,3.4457476,-0.08417412,1.4568763,-1.5785657,-0.11519576,-0.36717615,2.1074119,-3.7164109,0.8606412,-0.8799262,0.069393575,-0.6385769,0.17736651,-2.7606838,-0.35584554,0.51140386,-0.51390535,-3.8902245,-0.36009407,0.07306073,-0.5453742,3.309789,-0.070991784,-1.734784,2.4427054,0.0298089,-1.9113222e-05,-5.1015744,-0.0046876767,3.0479152,0.31783128,-0.8256879,-2.191754
Nuc_AreaShape_Compactness,0.06848815,-1.8001356,0.07404994,5.2568393,-1.0986934,5.9792647,-0.5087959,0.28887552,0.089133345,0.89339095,0.19874118,1.8129588,-1.2248211,-1.0451312,-0.035362948,0.2475251,-0.48573616,1.3604326,-4.0696464,-0.017892055,0.09161854,2.9212132,-0.6653753,-0.5739311,-0.67020947,0.011837925,-1.380979,-2.6301482,-0.8405459,-0.3389511,-2.7935362,-0.84299755,2.533756,0.26533422,-0.030428594,6.561054,0.028952679,-1.8172861,1.6051798,-2.132823,0.03287354,0.10047471,0.9753882,-1.3371123,0.72563314,-0.1479047,-0.2487997,-0.41876277,-0.31873623,3.9532363,-0.7437137,1.2563084,0.15835313,-2.9439802,-3.950506,0.04794095,0.3416579,0.26525626,-0.071911246,-2.938694,-0.6166262,-4.348435,-0.48939872,-1.1597131,0.5681992,-0.5828865,10.381354,3.8302147,0.124117814,4.2709494,0.016343778,-0.15416616,-0.10985836,0.9735263,-1.2009665,10.488238,-0.26221907,-0.10771092,-1.2229818,-1.1651397,-4.6692066,-1.3320365,0.36702088,0.5910416,-1.5882626,-1.381133,3.3444872,0.119075745,1.1381044,-1.7869982,0.7023323,-0.39279,-0.56329715,0.9781235,-0.2914221,-0.52546287,0.40690136,1.4065317,0.43817592,-2.5256329,0.1252001,0.3618439,-0.3031398,-0.5393714,1.840073,0.3266113,-1.1895119,0.20320638,-0.08417553,-1.8847765,-4.2169824,0.2980516,0.30089417,-3.4512622,0.2446549,-0.9870815,-0.27454534,-0.6576243,6.2980847
Nuc_AreaShape_Eccentricity,0.053403184,-0.92442435,-0.48544708,1.7765789,0.23977463,2.104206,-0.2695808,-0.01768279,-0.06439149,0.7689908,-0.12315794,-1.1952927,-1.6971701,-1.0906929,-0.69505644,0.08553604,-0.42766818,1.2860444,-6.4305825,0.03774205,0.043317825,1.1000258,-0.6962009,-1.5717306,-0.6823953,-0.22211528,-0.79340106,-2.2301607,-1.258996,0.5938755,-2.6555412,-0.48338485,1.5713663,0.3063991,0.11818307,2.9312813,-0.16574405,-2.0195506,2.4357688,-1.2800945,0.30292565,-0.22208463,0.49644816,-1.3279754,1.102259,0.06879574,-0.24335402,-0.40502414,-0.3056591,2.362847,-0.11762955,1.4599963,-0.06480845,-3.7708635,-5.755013,-0.30077943,-0.20662399,-0.11479116,0.25274268,-3.2947662,-1.1170392,-9.432006,-0.44911027,-0.48772767,0.63529235,-0.21121652,0.2166451,3.8443286,-0.040452395,1.9869503,0.2112093,-0.12254354,0.41283563,1.5662661,-0.40271112,0.7300585,-0.4310206,-0.14900263,-0.9085564,1.4569145,-9.743539,-0.054100882,-0.22546792,0.4863483,-2.3593037,-0.57344085,1.0944146,0.39989504,0.08789619,-0.923629,0.7896809,-0.29138795,-1.1071132,1.4340166,-0.08041183,-0.46592775,0.037677318,0.820096,0.31113192,-4.2716293,-0.23901625,-0.12500997,-0.11767805,1.6086434,1.3044642,0.23176385,-0.6789141,0.4042523,0.174646,-0.93033415,-6.452614,0.18790269,0.21328312,-4.552244,-0.0042517683,-1.3643275,-0.93297553,-0.22686122,-6.490198
Nuc_AreaShape_Orientation,-0.42452195,0.50845915,0.36006746,-0.27321544,0.49994007,-0.006255552,-0.26057622,0.03391725,0.28714296,0.058832113,0.34655976,-0.042621296,0.23414911,-0.16633289,0.056661006,-0.51153785,0.22020085,-0.059325814,-1.5301713,-0.022004982,-0.1968172,-0.2504498,0.22258396,-0.32643643,-0.4150003,0.21407644,0.37361774,0.087891154,0.07287476,-0.3209236,0.24812151,0.025992474,-0.04617999,-0.32903668,-0.2531835,0.4216826,-0.11652423,0.0862067,-0.049067587,-0.030880323,-0.6434854,0.27743462,0.031892437,-0.12956834,-0.010603701,0.08025443,-0.29898956,-0.015107989,0.032608826,0.91762704,-0.32854274,-0.06823782,0.31026602,-0.23942183,0.116020136,-0.23400229,0.09861531,0.17719482,-0.22002812,-0.07265812,-0.113363616,-0.94337934,0.7336289,-0.045270026,0.11008451,0.22436903,-0.32400998,0.7842173,0.1742186,0.0026418765,-0.22037728,0.15293944,-0.42429268,0.019238243,-0.40462413,0.18675356,-0.31997848,-0.18697917,0.46175718,-0.13173759,6.123024,-0.19666463,-0.17296135,-0.39860556,0.1442365,0.13757466,0.17421794,0.3556063,0.15678178,0.318189,-0.2760795,0.13796854,0.03908332,-0.144989,-0.4284478,-0.43600455,-0.13950069,-0.6581879,0.26916638,6.657025,0.33169594,-0.0034701873,-0.18773454,-0.3759246,-0.25482023,-0.116542675,0.024831137,0.46989393,-0.2395397,-0.230998,-0.5268859,-0.18430382,0.08583184,-2.6749413,-0.11360761,0.0020092528,-0.041136157,-0.12457185,6.1863427
Nuc_AreaShape_Solidity,0.025068445,2.4307203,0.20187323,-3.444494,1.0684184,-5.649451,0.43597698,-0.27324912,-0.019598076,-1.0950482,-0.26591727,-0.6425026,1.0336366,0.47104287,0.7726447,-0.24529584,0.76878023,-1.1795291,4.064882,0.38217092,0.0064003416,-2.3481343,0.69952387,-0.44465777,0.7062848,-0.05078895,1.4095253,3.7576206,0.99705225,0.5038933,4.1734366,1.0252608,-2.497934,-0.18500717,0.03615925,-5.445563,0.22764015,1.6569899,-3.2370408,0.80498093,0.061454285,-0.07042327,0.78268266,1.4889683,-0.64513856,0.03365793,0.36145318,0.38310874,0.22958519,-2.381224,0.5976677,-1.3917667,-0.42986992,3.705106,3.8392746,-0.24758832,0.61673635,-0.15907674,-0.05321899,2.4084213,0.49310216,4.472329,0.5439029,1.3061874,0.3640903,0.31358853,-10.359982,-4.386123,-0.13976462,-3.2657273,0.012791489,0.18542145,-0.11292068,-1.0982541,1.4792161,-10.41175,0.62929064,0.06546179,0.9845805,0.78244686,2.3773787,0.89924574,-0.41114712,-1.4498571,2.337938,1.617186,-2.873973,-0.060143698,-0.8527568,1.9486903,-0.8416517,0.39901376,1.2157125,-1.7110577,0.8036793,0.3484644,-0.4031458,-1.8702987,-0.4392333,0.31910837,-0.55228347,-0.32468975,0.09773302,0.0042403936,-2.227627,-0.46578684,1.0840143,1.0658365,0.11857187,1.5799662,4.434726,-0.23706539,-0.069384,1.7558092,-0.2527024,1.8108859,0.53520375,0.6427675,-7.5036063
Nuc_AreaShape_Zernike_0_0,-0.047337253,1.5930735,0.33181107,-3.1117105,0.36431754,-3.761253,0.5283541,-0.1968375,-0.24931,-0.8504901,-0.0812791,0.12712789,1.6160064,1.3539678,0.121577375,-0.15458126,0.36598632,-1.4093808,6.670292,0.11368922,-0.050959248,-1.8303285,0.7883053,1.4616286,0.8895598,0.016797507,1.175477,2.7882977,1.408105,-0.15869538,2.9924328,0.86505395,-1.9356604,-0.19878183,0.1447516,-3.9448907,0.12406092,2.125722,-2.728429,2.0514805,-0.12548073,0.050108943,-1.0073584,1.5206836,-1.0058372,-0.012556712,0.39460757,0.2826281,0.27028152,-2.9335086,0.66168827,-1.6848952,0.0036916535,4.101416,6.028307,0.19171844,0.25450173,-0.21646006,-0.13118415,3.6422596,0.95445204,7.7587924,0.5706348,1.0275161,-0.636419,0.46321702,-4.4259496,-4.22673,-0.13478157,-2.7455313,-0.103290536,0.1345312,-0.34822297,-1.6050373,0.9009318,-4.7073493,0.3715768,0.0575584,1.3657026,-0.29406396,7.848458,0.71185064,-0.13281383,-0.8575535,2.3510945,1.183269,-1.879292,-0.36757588,-0.6738426,1.6029135,-1.0558081,0.47411433,0.9254319,-1.1503017,0.29838583,0.45764962,-0.13497087,-0.9628827,-0.30906144,4.6609874,0.18778045,0.007860541,0.099823356,-0.6418555,-1.6188397,-0.2105354,1.0598276,-0.26775482,-0.017667467,1.4852363,6.340936,-0.34562624,-0.038937796,4.794618,-0.22857316,1.4694897,0.7523451,0.4620938,2.2252848
Nuc_AreaShape_Zernike_1_1,-0.055934712,-1.0354013,0.13994771,1.880531,-0.61951005,3.8233783,-0.20825778,0.25700438,-0.04041334,0.5257365,0.36242962,1.285922,-1.6678581,-0.23444228,0.3660892,0.37159252,-0.7489231,-0.31198788,-1.2625482,-0.26061672,0.27625754,0.8315804,-0.65556073,0.03760612,-0.6023819,0.16375506,-1.1309184,-2.6782176,-0.6680178,-0.3929424,-3.2877042,-0.80754954,1.0143666,0.3281276,-0.026277378,1.7059221,-0.15112858,-1.5194498,3.1657944,-0.8848732,0.17622165,-0.08419475,-0.07970347,-1.1645968,0.13500218,-0.3367847,-0.5904655,-0.29165974,-0.1376,1.8214582,-0.33006132,1.5992607,0.40092114,-2.5427935,-0.4154788,-0.1601866,0.7658925,0.19668297,-0.35560405,-2.4852483,-0.26641777,-3.6434066,-0.6530312,-0.8668377,-0.05568279,-0.636887,4.169159,2.9196846,0.46241426,2.3375962,-0.00838844,0.1220451,0.11362652,1.2839862,-1.0987536,3.69468,-0.18215208,-0.1897195,-0.7460491,-0.12364783,-2.142385,-0.35162845,-0.06269464,1.6137737,-1.6321617,-1.3502188,0.8484824,0.3097436,0.44683444,-1.3554233,0.5966659,-0.5804742,-0.31390116,0.48844466,-0.16095848,-0.28847083,-0.028465807,0.3113362,0.5886786,9.119596,-0.029066682,0.2605748,0.20178324,1.1817881,0.55849034,0.61348754,-1.2448882,-0.208479,0.0036711197,-0.68967694,-2.6285608,0.42422703,0.26722685,3.1587293,0.019529099,-0.46756545,-0.70863515,-0.30497453,8.167644
Nuc_AreaShape_Zernike_2_0,-0.14386784,-0.96242505,-0.3977882,1.7956448,0.4495933,1.8372556,-0.5875973,0.30180994,0.17212386,0.55401593,0.17008962,1.5614961,-1.4095975,-1.4623462,-0.118061066,0.038267136,-0.144797,1.2219889,-7.2387347,0.027477583,0.093355626,1.3402895,-0.46523976,-1.9689764,-0.70859355,-0.10859838,-0.57984,-1.5832404,-1.1319145,0.29596007,-1.4235835,-0.08298287,1.545724,0.18696357,-0.021822268,1.2574319,0.1878862,-1.5644536,-0.3373951,-1.5099248,0.08152277,-0.2425493,1.5365802,-1.5437499,1.0291804,0.3205029,-0.11653765,-0.13628422,-0.35375485,2.473385,-0.09453261,0.4540721,-0.49437305,-3.5606086,-6.586998,-0.50947946,-0.9202706,0.22222805,0.032978933,-3.4618323,-0.9161327,-8.585976,-0.20426853,-0.20492671,0.53633183,-0.9505357,2.3249807,1.6639286,-0.30549732,1.3782793,-0.12228247,-0.31360936,0.18298632,0.30957296,-0.52167535,1.355995,-0.3807515,-0.3153601,-0.71117973,0.9841075,-15.660129,-0.4393953,0.006110961,0.5628956,-1.8567934,-0.79430217,0.81047654,0.47410682,0.20074601,-0.8169696,0.6168104,-0.5677596,-0.26817793,0.025394758,-0.12903982,0.04523777,0.22113116,0.1283171,0.20139115,-8.890494,-0.09552711,-0.22109221,-0.23308878,-0.51948494,1.0401708,0.039836913,-0.3244687,0.8189647,-0.16904373,-1.1371744,-6.2514596,-0.0098435925,-0.04645735,-5.9867325,-0.06160753,-0.95736384,-0.59739804,-0.14740485,-3.327276
Nuc_AreaShape_Zernike_2_2,0.19030128,0.1938866,-0.5123078,-1.7994,0.93870133,-1.2497181,-0.26567772,-0.3356359,0.094526015,0.5747053,-0.4696081,-1.5035738,-1.032507,-0.7867677,-1.0156704,-0.13925502,0.11824421,1.2387893,-5.065092,0.26068282,0.14999649,0.21306638,-0.36943007,-1.3486542,-0.36647367,-0.45306516,0.33310655,-0.635876,-0.56902665,1.1681966,-1.0044903,0.09369121,0.29650548,-0.041254967,0.44669172,0.56986225,-0.009768814,-0.7973938,0.31358165,-0.20161481,0.48004007,-0.44328582,-0.30011615,-0.4493165,1.383214,0.21229918,-0.09121418,-0.14123915,0.15817328,0.34248105,0.5669902,0.9982137,-0.1254721,-2.1690576,-4.417577,-0.5155682,-0.6751776,-0.5155737,0.6427451,-1.6740819,-0.65928555,-8.406299,0.029161612,0.272257,-0.007897218,0.2515911,-5.66588,0.9578456,-0.281714,-0.64196664,0.2285483,-0.26242006,0.64307326,0.7493505,-0.11614951,-5.0472703,-0.20667015,-0.08416409,0.07857416,2.3209147,-6.9562745,1.0302392,-0.19423456,-0.32736573,-1.1423655,0.50958467,0.0017843843,0.13604018,-0.6674879,0.27568224,0.25138322,0.13759252,-0.7678912,1.8829626,-0.15112524,-0.18009675,0.032887816,0.46368933,-0.21636917,-4.4828277,0.010753592,-0.1840312,0.19160736,2.032699,0.56546664,-0.16621907,0.019804826,0.43631306,0.1702253,0.43493757,-5.248216,-0.22508371,0.08585924,-3.7648208,-0.1605657,-0.9118039,-0.8236339,0.46029887,-7.857391
Nuc_AreaShape_Zernike_3_1,0.058652207,-1.3869838,-0.16670914,2.150615,-0.5240498,3.955536,-0.25879326,0.05632289,0.002636455,0.70316505,0.2465509,-0.91893005,-1.0474159,-0.41260067,-0.12699653,0.024794579,-0.73635954,0.2512411,-0.46211684,-0.12804449,0.10203719,1.032698,-0.51183194,0.4177476,-0.4507668,0.27040502,-1.2911743,-2.684069,-0.972724,-0.30791906,-3.1498935,-0.9333587,1.118677,0.39233062,-0.16369675,3.2878933,-0.2872931,-1.5570513,3.603038,-1.2017616,-0.026283508,0.23583402,-0.87080455,-0.86155456,0.003802086,-0.2677494,-0.31809732,-0.45462158,-0.105981044,2.2408578,-0.6055178,1.9891729,-0.12326137,-2.322305,-0.9482189,0.19953255,1.0310708,0.4309106,-0.09326162,-1.6176127,-0.06539629,-1.9783134,-0.61239856,-0.7934672,-0.1872232,-0.5006108,3.6882687,3.6908524,0.47399482,2.5682538,0.04730395,-0.013193145,0.30945095,1.6624051,-0.5637931,4.2764955,-0.4349508,-0.22872622,-1.3949385,-0.4338807,3.242034,-0.4053906,-0.013121128,1.5207477,-1.5358024,-1.1473154,0.76794535,0.40351307,0.58712345,-1.5256386,1.0001177,-0.34735414,-0.6460112,0.47503433,-0.21348016,-0.53076524,0.35861662,0.6926623,0.53291494,0.6564528,0.38290536,0.4167839,0.19523738,0.95089406,0.8642486,0.34272352,-1.0319737,-0.56593966,0.3953716,-1.0115218,-2.2456622,0.34871927,0.1806854,2.6466262,0.42834613,-1.0401272,-0.5260578,-0.6600393,2.0813787
