drug,X_scvi_gex_1,X_scvi_gex_2,X_scvi_gex_3,X_scvi_gex_4,X_scvi_gex_5,X_scvi_gex_6,X_scvi_gex_7,X_scvi_gex_8,X_scvi_gex_9,X_scvi_gex_10,X_scvi_gex_11,X_scvi_gex_12,X_scvi_gex_13,X_scvi_gex_14,X_scvi_gex_15,X_scvi_gex_16,X_scvi_gex_17,X_scvi_gex_18,X_scvi_gex_19,X_scvi_gex_20
18β-Glycyrrhetinic acid,1.1802406,-0.56575346,0.5231905,-0.92619836,-0.42929137,-0.33198225,1.3918735,1.040977,-1.4127568,1.0688188,-0.54437345,0.51756555,0.8357365,-1.0401502,-0.056604855,0.30379015,-0.576736,-0.980629,-0.27452642,0.026104227
5-Fluorouracil,-1.1306369,0.6032599,-0.15076894,0.91567624,0.17171547,-0.64951336,-0.7291175,-0.16204959,0.9506391,-0.80051506,0.21129167,0.01912716,0.046687555,0.69446695,0.35128918,-0.4913504,-0.6405159,0.33132252,1.116962,-0.38660893
8-Hydroxyquinoline,1.294986,-0.6035875,0.5186355,-0.97042394,-0.44548142,-0.31058836,1.4339379,1.0233073,-1.5087482,1.0869688,-0.577863,0.5491883,0.8645675,-1.0549423,-0.043624967,0.30210096,-0.5611173,-1.0596163,-0.27602494,0.017530784
AT7519,0.97468334,0.47494996,-0.2209253,-0.30463666,-0.24159673,0.42949966,-1.7615529,-0.92053694,1.5513108,-1.2047498,1.5571725,0.91125894,-1.4585589,0.6694979,-0.0058267713,-0.26975554,-0.17315194,1.5985141,0.05155298,-0.23962626
AZD-8055,0.7595839,0.6629948,-0.14468491,-0.13941178,-0.14775923,0.40444148,-1.9385476,-0.98816305,1.7403708,-1.3334262,1.6756959,0.7922598,-1.5159512,0.8435434,0.18974447,-0.2567762,-0.19126621,1.7828033,-0.13243638,-0.3016676
AZD2858,1.0787482,0.36698252,-0.33064532,-0.49128246,-0.30570439,0.38019806,-1.7340853,-0.8342666,1.4673802,-1.2212839,1.6547383,0.9604465,-1.3770719,0.72555417,-0.11660971,-0.3003259,-0.16780332,1.5925345,0.10407851,-0.23099467
Abiraterone acetate,-0.3311542,-0.18951684,0.28909853,0.049696863,0.095892504,-0.89597356,0.97227377,0.7732584,-1.0015655,0.6091409,-0.40203157,0.23437434,1.2636709,-0.34740555,0.23444429,-0.03376215,-0.9112456,-1.0194168,0.7622882,-0.23029664
Acetohexamide,1.0065038,-0.32745796,0.41123816,-0.7474135,-0.3498658,-0.24068105,1.0317765,0.84548587,-1.0535971,0.69882345,-0.5700466,0.44874817,0.6472537,-0.8328836,-0.08293876,0.25365573,-0.39411303,-0.6973174,-0.20197792,0.03699535
Aliskiren,1.2117574,-0.46870476,0.5127001,-0.93930614,-0.3998406,-0.32291478,1.2605628,1.0000138,-1.2960902,0.91718304,-0.45252642,0.55776215,0.776303,-0.96733165,-0.0882383,0.32159406,-0.52788305,-0.869433,-0.26701534,0.028608218
Alpelisib,1.1260138,0.5233724,-0.15917273,-0.3440606,-0.15402773,0.51745284,-1.8493226,-1.0565159,1.5905484,-1.180182,1.7024435,0.90867114,-1.484451,0.62753993,0.10460052,-0.19436526,-0.11960414,1.7126744,-0.12381382,-0.27879518
