drug,X_totalvi_joint_1,X_totalvi_joint_2,X_totalvi_joint_3,X_totalvi_joint_4,X_totalvi_joint_5,X_totalvi_joint_6,X_totalvi_joint_7,X_totalvi_joint_8,X_totalvi_joint_9,X_totalvi_joint_10,X_totalvi_joint_11,X_totalvi_joint_12,X_totalvi_joint_13,X_totalvi_joint_14,X_totalvi_joint_15,X_totalvi_joint_16,X_totalvi_joint_17,X_totalvi_joint_18,X_totalvi_joint_19,X_totalvi_joint_20
18β-Glycyrrhetinic acid,0.74671185,-0.3410236,-0.49287507,0.5358769,0.5254119,2.0493407,0.061890997,-0.67838806,-0.25420156,-0.20189598,-0.6229097,1.6548815,-0.9526132,-1.0094438,0.24435686,0.7233878,-0.66370916,1.6015767,-1.2556766,0.8076733
5-Fluorouracil,0.5371297,-0.52978706,0.47108844,0.18459503,0.35277486,0.28249052,0.10739991,-0.9046541,-0.081640095,-0.43405557,-0.48944947,-0.35445613,-0.5963317,-0.6011524,0.41038576,-0.12627648,-0.46464372,0.4069079,-0.29381484,0.69220525
8-Hydroxyquinoline,1.0580918,-0.6237205,-0.83190185,0.8464742,0.6362613,2.5783494,0.12930454,-1.1410013,-0.22076298,-0.43746087,-0.8485959,2.5687835,-1.5166258,-1.3002936,0.53387237,0.97107214,-1.0718824,2.0680056,-1.4829205,1.1768788
AT7519,1.4648514,-1.3556757,3.2637892,0.8124122,0.7169855,2.8586123,0.14663108,-2.5775754,-0.084756054,-1.069365,-1.1758595,-0.061499417,-2.0551622,-2.1993198,0.56701076,-0.3194719,-1.3980267,3.5012054,-0.80618936,1.8630393
AZD-8055,1.4384615,-1.5842663,2.9376485,0.5658841,0.83648884,4.0616937,0.025205867,-3.0068684,-0.26854023,-0.9303991,-1.191458,-0.31696683,-1.6770315,-2.536729,0.9302617,-0.5894811,-1.8249841,3.2252169,-0.9140258,1.6924484
AZD2858,1.312229,-1.2917231,2.3371644,0.6485848,0.79420584,3.3905313,0.14567246,-2.4926944,-0.1330875,-0.8756649,-1.1263735,-0.53035665,-1.4760183,-2.1984942,0.8855043,-0.3112207,-1.6089506,2.8377004,-1.1581966,1.5936458
Abiraterone acetate,0.5800673,-0.5056393,0.07926236,0.22479467,0.39813858,0.07888308,0.031619415,-0.7690158,-0.03996988,-0.2223004,-0.3533303,-0.5264373,-0.39970532,-0.75000125,0.2306609,0.0062639266,-0.49523658,0.38132876,-0.71236783,0.6772421
Acetohexamide,0.36805528,-0.09956519,-0.052429974,0.21993296,0.30035728,1.5237874,0.020908408,-0.20388389,-0.20843561,-0.024787668,-0.4001964,0.87793064,-0.39229342,-0.525933,0.039926022,0.5757319,-0.29065222,0.93248343,-0.4857003,0.44873822
Aliskiren,0.38348907,-0.106373385,-0.06791955,0.23732533,0.30315775,1.586689,0.018767571,-0.22002567,-0.21622467,-0.030356009,-0.42332667,0.9298618,-0.40739608,-0.5400639,0.05435148,0.5727415,-0.30326182,0.9707689,-0.48727334,0.46512854
Alpelisib,1.6124334,-1.5975018,3.112664,0.7801647,0.8400761,4.136041,0.110329725,-3.0080447,-0.11079228,-1.016205,-1.3136008,-0.4479288,-1.8628073,-2.6285763,0.9680778,-0.5410168,-1.8384703,3.5464807,-1.4749308,1.8559576
Altretamine,0.62489915,-0.5819838,0.12842773,0.20986533,0.395647,-0.0021194443,0.03337539,-0.80772126,0.015760835,-0.21357226,-0.32716927,-0.45597893,-0.4108269,-0.81957996,0.17578416,0.008045539,-0.47014523,0.48552826,-0.9631145,0.6930853
Amsacrine,0.6856705,-0.58025277,-0.73465055,0.50511855,0.5537668,1.3446853,0.19665354,-0.94955945,-0.28333253,-0.53850853,-1.036838,1.6537534,-0.5888764,-0.6098756,0.8154238,0.5191918,-0.80367327,1.6028531,0.9584309,1.3459431
