target,block,model,score_mean_base,score_mean_tuned,d_score,permuted_score_base,permuted_score_tuned,d_permuted,gap_vs_permuted_base,gap_vs_permuted_tuned,d_gap,verdict
tox_liver_toxicity,ecfp,xgboost,0.5,0.7017575757575757,0.2017575757575757,0.5,0.5078787878787879,0.00787878787878793,0.0,0.1938787878787877,0.1938787878787877,improved
moa-fine,morphology+ecfp,xgboost,0.5,0.6606666666666666,0.16066666666666662,0.5,0.5106666666666667,0.010666666666666713,0.0,0.1499999999999999,0.1499999999999999,improved
moa-fine,morphology,xgboost,0.5,0.6393333333333332,0.1393333333333332,0.5,0.5166666666666666,0.016666666666666607,0.0,0.1226666666666665,0.1226666666666665,improved
tox_infertility,ecfp,xgboost,0.5065555555555555,0.5943333333333334,0.08777777777777784,0.5017777777777778,0.4767222222222221,-0.025055555555555664,0.0047777777777777,0.1176111111111112,0.1128333333333335,improved
tox_renal_toxicity,morphology+expression,sparse_plsda,0.5129444444444444,0.5496666666666666,0.03672222222222221,0.5442222222222222,0.488,-0.056222222222222173,-0.0312777777777777,0.0616666666666666,0.0929444444444443,improved
tox_pulmonary_toxicity,expression,sparse_plsda,0.4448888888888889,0.4566666666666666,0.01177777777777772,0.6223888888888889,0.5545555555555556,-0.0678333333333333,-0.1775,-0.0978888888888889,0.07961111111111109,improved
tox_renal_toxicity,expression,sparse_plsda,0.514611111111111,0.5505,0.03588888888888897,0.5390555555555555,0.499,-0.04005555555555551,-0.0244444444444444,0.0514999999999999,0.0759444444444443,improved
moa-fine,ecfp,xgboost,0.5,0.5826666666666667,0.08266666666666667,0.5,0.514,0.014000000000000012,0.0,0.0686666666666666,0.0686666666666666,improved
tox_pulmonary_toxicity,expression,elastic_net,0.4590555555555556,0.4511666666666666,-0.007888888888889,0.5597222222222222,0.4856111111111111,-0.07411111111111113,-0.1006666666666666,-0.0344444444444445,0.0662222222222221,improved
tox_pulmonary_toxicity,morphology+expression,elastic_net,0.4623333333333332,0.4527777777777777,-0.009555555555555484,0.544111111111111,0.4703888888888888,-0.07372222222222219,-0.0817777777777777,-0.017611111111111,0.0641666666666667,improved
tox_renal_toxicity,ecfp,xgboost,0.586111111111111,0.7008333333333333,0.11472222222222228,0.4977777777777777,0.5537222222222222,0.05594444444444452,0.0883333333333333,0.147111111111111,0.05877777777777769,improved
tox_cardiotoxicity,morphology,linear_svm,0.3701190476190475,0.4051190476190476,0.03500000000000009,0.5225,0.5166666666666666,-0.005833333333333357,-0.1523809523809524,-0.111547619047619,0.04083333333333339,improved
tox_pulmonary_toxicity,morphology+expression,sparse_plsda,0.4485,0.4572222222222222,0.008722222222222187,0.6128333333333333,0.5807777777777777,-0.032055555555555615,-0.1643333333333333,-0.1235555555555555,0.0407777777777778,improved
tox_infertility,ecfp,elastic_net,0.5413333333333333,0.5831666666666666,0.04183333333333328,0.4561111111111111,0.4581111111111111,0.0020000000000000018,0.0852222222222222,0.1250555555555555,0.039833333333333304,improved
moa-fine,expression,sparse_plsda,0.5506666666666666,0.5780000000000001,0.02733333333333343,0.476,0.4666666666666666,-0.00933333333333336,0.0746666666666666,0.1113333333333334,0.03666666666666679,improved
moa-fine,morphology,elastic_net,0.6993333333333333,0.7233333333333333,0.02400000000000002,0.4973333333333333,0.4853333333333333,-0.01200000000000001,0.2019999999999999,0.238,0.03600000000000009,improved
tox_infertility,morphology,linear_svm,0.4374444444444444,0.4594444444444444,0.021999999999999964,0.4961111111111111,0.4832222222222222,-0.012888888888888894,-0.0586666666666667,-0.0237777777777778,0.0348888888888889,improved
moa-fine,morphology,linear_svm,0.7406666666666666,0.7446666666666667,0.004000000000000115,0.5073333333333333,0.4773333333333333,-0.030000000000000027,0.2333333333333332,0.2673333333333334,0.034000000000000224,improved
