model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate
elastic_net,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6626666666666666,0.1412861556479536,25,False,0,4.7,moa-fine,ecfp,0.5,False
elastic_net,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4613333333333334,0.1191376421530062,25,True,0,2.8,moa-fine,ecfp,0.5,
sparse_plsda,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6368055555555556,0.1197972019655109,24,False,0,0.1,moa-fine,ecfp,0.5,False
sparse_plsda,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.476,0.086162636914152,25,True,0,0.1,moa-fine,ecfp,0.5,
linear_svm,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6826666666666666,0.1351114766076928,25,False,0,0.2,moa-fine,ecfp,0.5,False
linear_svm,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5293333333333333,0.1520438533230901,25,True,0,0.1,moa-fine,ecfp,0.5,
xgboost,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,0.2,moa-fine,ecfp,0.5,True
xgboost,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,True,0,0.3,moa-fine,ecfp,0.5,
elastic_net,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.6993333333333333,0.132117792560696,25,False,0,4.1,moa-fine,morphology,0.5,False
elastic_net,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.4973333333333333,0.0861110394264934,25,True,0,2.3,moa-fine,morphology,0.5,
sparse_plsda,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.6926666666666665,0.1493749941887493,25,False,0,0.1,moa-fine,morphology,0.5,False
sparse_plsda,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.4933333333333333,0.183424219895968,25,True,0,0.1,moa-fine,morphology,0.5,
linear_svm,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.7406666666666666,0.1316628691435482,25,False,0,0.1,moa-fine,morphology,0.5,False
linear_svm,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.5073333333333333,0.1258817787538062,25,True,0,0.1,moa-fine,morphology,0.5,
xgboost,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,0.3,moa-fine,morphology,0.5,True
xgboost,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,True,0,0.3,moa-fine,morphology,0.5,
elastic_net,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6866666666666668,0.1744196726926817,25,False,0,260.0,moa-fine,expression,0.5,False
elastic_net,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4386666666666666,0.1062198976965552,25,True,0,245.2,moa-fine,expression,0.5,
sparse_plsda,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5506666666666666,0.1460958589419973,25,False,0,3.4,moa-fine,expression,0.5,False
sparse_plsda,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.476,0.0817964954424495,25,True,0,3.0,moa-fine,expression,0.5,
linear_svm,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6940000000000001,0.1933264366585985,25,False,0,4.3,moa-fine,expression,0.5,False
linear_svm,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.3853333333333333,0.1490950479839398,25,True,0,4.2,moa-fine,expression,0.5,
xgboost,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,38.8,moa-fine,expression,0.5,True
xgboost,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,True,0,37.3,moa-fine,expression,0.5,
elastic_net,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.7060000000000001,0.1452109576520388,25,False,0,258.3,moa-fine,morphology+expression,0.5,False
elastic_net,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4393333333333333,0.0768664064754197,25,True,0,240.6,moa-fine,morphology+expression,0.5,
sparse_plsda,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5559999999999999,0.1234575950591043,25,False,0,2.8,moa-fine,morphology+expression,0.5,False
sparse_plsda,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4773333333333333,0.0802606863774399,25,True,0,3.1,moa-fine,morphology+expression,0.5,
linear_svm,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.7120000000000001,0.1512554865855193,25,False,0,3.5,moa-fine,morphology+expression,0.5,False
linear_svm,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.3986666666666666,0.1778838572402416,25,True,0,4.3,moa-fine,morphology+expression,0.5,
xgboost,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,41.0,moa-fine,morphology+expression,0.5,True
xgboost,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,True,0,39.8,moa-fine,morphology+expression,0.5,
elastic_net,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.7593333333333334,0.1368762620439026,25,False,0,7.4,moa-fine,morphology+ecfp,0.5,False
elastic_net,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4533333333333333,0.1168094364529015,25,True,0,5.3,moa-fine,morphology+ecfp,0.5,
sparse_plsda,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.7133333333333333,0.1322455628325158,25,False,0,0.1,moa-fine,morphology+ecfp,0.5,False
sparse_plsda,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4793333333333334,0.0826344023058462,25,True,0,0.1,moa-fine,morphology+ecfp,0.5,
linear_svm,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.77,0.1314872194887734,25,False,0,0.1,moa-fine,morphology+ecfp,0.5,False
linear_svm,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.476,0.1436105845681299,25,True,0,0.1,moa-fine,morphology+ecfp,0.5,
xgboost,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,0.4,moa-fine,morphology+ecfp,0.5,True
xgboost,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,True,0,0.4,moa-fine,morphology+ecfp,0.5,
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.518095238095238,0.0755456342692471,25,False,0,4.5,tox_cardiotoxicity,ecfp,0.5,False
