model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate,permuted_score,gap_vs_permuted
linear_svm,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.7120000000000001,0.1512554865855193,25,False,0,3.5,moa-fine,morphology+expression,0.5,False,0.3986666666666666,0.31333333333333346
linear_svm,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6940000000000001,0.1933264366585985,25,False,0,4.3,moa-fine,expression,0.5,False,0.3853333333333333,0.30866666666666676
elastic_net,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.7593333333333334,0.1368762620439026,25,False,0,7.4,moa-fine,morphology+ecfp,0.5,False,0.4533333333333333,0.3060000000000001
linear_svm,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.77,0.1314872194887734,25,False,0,0.1,moa-fine,morphology+ecfp,0.5,False,0.476,0.29400000000000004
elastic_net,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.7060000000000001,0.1452109576520388,25,False,0,258.3,moa-fine,morphology+expression,0.5,False,0.4393333333333333,0.2666666666666668
elastic_net,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6866666666666668,0.1744196726926817,25,False,0,260.0,moa-fine,expression,0.5,False,0.4386666666666666,0.24800000000000016
sparse_plsda,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.7133333333333333,0.1322455628325158,25,False,0,0.1,moa-fine,morphology+ecfp,0.5,False,0.4793333333333334,0.23399999999999987
linear_svm,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.7406666666666666,0.1316628691435482,25,False,0,0.1,moa-fine,morphology,0.5,False,0.5073333333333333,0.23333333333333328
elastic_net,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.6993333333333333,0.132117792560696,25,False,0,4.1,moa-fine,morphology,0.5,False,0.4973333333333333,0.20199999999999996
elastic_net,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6626666666666666,0.1412861556479536,25,False,0,4.7,moa-fine,ecfp,0.5,False,0.4613333333333334,0.20133333333333325
sparse_plsda,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.6926666666666665,0.1493749941887493,25,False,0,0.1,moa-fine,morphology,0.5,False,0.4933333333333333,0.19933333333333325
sparse_plsda,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6368055555555556,0.1197972019655109,24,False,0,0.1,moa-fine,ecfp,0.5,False,0.476,0.16080555555555565
linear_svm,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6826666666666666,0.1351114766076928,25,False,0,0.2,moa-fine,ecfp,0.5,False,0.5293333333333333,0.15333333333333332
sparse_plsda,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5559999999999999,0.1234575950591043,25,False,0,2.8,moa-fine,morphology+expression,0.5,False,0.4773333333333333,0.07866666666666666
sparse_plsda,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5506666666666666,0.1460958589419973,25,False,0,3.4,moa-fine,expression,0.5,False,0.476,0.07466666666666666
xgboost,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,0.2,moa-fine,ecfp,0.5,True,0.5,0.0
xgboost,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,0.3,moa-fine,morphology,0.5,True,0.5,0.0
xgboost,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,38.8,moa-fine,expression,0.5,True,0.5,0.0
xgboost,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,41.0,moa-fine,morphology+expression,0.5,True,0.5,0.0
xgboost,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,0.4,moa-fine,morphology+ecfp,0.5,True,0.5,0.0
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5310714285714286,0.1205914186392759,25,False,0,0.1,tox_cardiotoxicity,ecfp,0.5,False,0.3820238095238095,0.14904761904761915
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5389285714285714,0.1188507896653683,25,False,0,0.1,tox_cardiotoxicity,ecfp,0.5,False,0.4336904761904761,0.1052380952380953
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.518095238095238,0.0755456342692471,25,False,0,4.5,tox_cardiotoxicity,ecfp,0.5,False,0.4322619047619047,0.08583333333333337
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5842857142857142,0.0970757237682249,25,False,0,45.0,tox_cardiotoxicity,morphology+expression,0.5,False,0.505,0.07928571428571418
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5769047619047619,0.1136411635762188,25,False,0,51.4,tox_cardiotoxicity,expression,0.5,False,0.5025,0.07440476190476197
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5052380952380953,0.105645220897174,25,False,0,5.5,tox_cardiotoxicity,morphology+expression,0.5,False,0.4588095238095239,0.046428571428571375
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4995238095238095,0.109564821513927,25,False,0,3.5,tox_cardiotoxicity,expression,0.5,False,0.4616666666666667,0.037857142857142756
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5526190476190476,0.1005361195683843,25,False,0,5.4,tox_cardiotoxicity,expression,0.5,False,0.5208333333333334,0.031785714285714195
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5434523809523809,0.0969525739075636,25,False,0,5.8,tox_cardiotoxicity,morphology+expression,0.5,False,0.5129761904761905,0.030476190476190435
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4776190476190476,0.1119051418433266,25,False,0,0.1,tox_cardiotoxicity,morphology+ecfp,0.5,False,0.4489285714285714,0.02869047619047621
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4971428571428571,0.1263994227002517,25,False,0,0.3,tox_cardiotoxicity,morphology,0.5,False,0.4716666666666666,0.025476190476190486
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5163095238095238,0.0914039215282818,25,False,0,0.3,tox_cardiotoxicity,ecfp,0.5,False,0.4914285714285713,0.024880952380952448
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.3988095238095238,0.1221065340959862,25,False,0,0.1,tox_cardiotoxicity,morphology+ecfp,0.5,False,0.3777380952380952,0.021071428571428574
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4579761904761905,0.0662578879058981,25,False,0,8.2,tox_cardiotoxicity,morphology+ecfp,0.5,False,0.4417857142857143,0.0161904761904762
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.474047619047619,0.1282583268747039,25,False,0,0.4,tox_cardiotoxicity,morphology+ecfp,0.5,False,0.4802380952380952,-0.006190476190476191
