target,block,model,n,score_mean,permuted_score,gap_vs_permuted,se_gap,gap_lo,gap_hi,clears_zero,degenerate
moa-fine,morphology+expression,linear_svm,64,0.7293333333333334,0.3853333333333333,0.3440000000000001,0.04267291620897003,0.2603626210954961,0.42763737890450404,True,False
moa-fine,expression,linear_svm,64,0.73,0.3913333333333333,0.3386666666666666,0.04604461604429627,0.24842087751669276,0.4289124558166405,True,False
moa-fine,morphology+ecfp,elastic_net,64,0.7653333333333333,0.4473333333333333,0.318,0.033883460403106525,0.25158963792273764,0.38441036207726237,True,False
moa-fine,morphology+ecfp,linear_svm,64,0.774,0.4646666666666666,0.3093333333333334,0.03623871471843949,0.23830675762250259,0.3803599090441642,True,False
moa-fine,morphology+expression,elastic_net,64,0.7266666666666667,0.4546666666666666,0.2720000000000001,0.035169683914796086,0.20306868616316592,0.3409313138368342,True,False
moa-fine,morphology,linear_svm,64,0.7446666666666667,0.4773333333333333,0.2673333333333334,0.039402199600191506,0.19010644118717668,0.34456022547949017,True,False
tox_liver_toxicity,ecfp,linear_svm,70,0.7045454545454546,0.4608181818181818,0.2437272727272728,0.037489086749937665,0.17025001286685426,0.3172045325876913,True,False
moa-fine,morphology,elastic_net,64,0.7233333333333333,0.4853333333333333,0.238,0.033364252326904195,0.17260726705281532,0.30339273294718466,True,False
moa-fine,expression,elastic_net,64,0.6726666666666665,0.4346666666666667,0.2379999999999998,0.04371422346712032,0.15232169637220216,0.3236783036277974,True,False
tox_liver_toxicity,ecfp,elastic_net,70,0.6835151515151514,0.4632424242424243,0.2202727272727271,0.02745439159766908,0.1664631085112091,0.2740823460342451,True,False
tox_liver_toxicity,expression,linear_svm,70,0.689878787878788,0.473,0.216878787878788,0.03492323366715102,0.14843050765143254,0.2853270681061435,True,False
moa-fine,morphology,sparse_plsda,64,0.6919999999999998,0.482,0.2099999999999998,0.040321375637908635,0.13097155592404247,0.2890284440759571,True,False
tox_liver_toxicity,morphology+expression,linear_svm,70,0.6836666666666668,0.4826969696969697,0.200969696969697,0.03407302588185613,0.1341877933812861,0.26775160055810787,True,False
tox_liver_toxicity,ecfp,xgboost,70,0.7017575757575757,0.5078787878787879,0.1938787878787877,0.03151324935984535,0.1321139540831665,0.2556436216744089,True,False
