target,block,best_gap,best_model,best_gap_lo,best_gap_hi,n_models,n_degenerate,n_models_above_zero,n_models_clear_zero,median_gap
moa-fine,morphology+expression,0.3440000000000001,linear_svm,0.2603626210954961,0.42763737890450404,4,0,4,3,0.18537500000000004
moa-fine,expression,0.3386666666666666,linear_svm,0.24842087751669276,0.4289124558166405,4,0,3,3,0.17466666666666658
moa-fine,morphology+ecfp,0.318,elastic_net,0.25158963792273764,0.38441036207726237,4,0,4,4,0.24933333333333335
moa-fine,morphology,0.2673333333333334,linear_svm,0.19010644118717668,0.34456022547949017,4,0,4,4,0.2239999999999999
tox_liver_toxicity,ecfp,0.2437272727272728,linear_svm,0.17025001286685426,0.3172045325876913,4,0,4,4,0.2070757575757574
tox_liver_toxicity,expression,0.216878787878788,linear_svm,0.14843050765143254,0.2853270681061435,4,0,4,3,0.12489393939393936
tox_liver_toxicity,morphology+expression,0.200969696969697,linear_svm,0.1341877933812861,0.26775160055810787,4,0,4,3,0.1311818181818181
tox_infertility,ecfp,0.1928333333333334,linear_svm,0.13049264671661026,0.25517401995005656,4,0,4,4,0.12133333333333335
moa-fine,ecfp,0.1746666666666666,elastic_net,0.09986642443181933,0.2494669089015139,4,0,4,4,0.14433333333333326
tox_liver_toxicity,morphology+ecfp,0.1698787878787878,elastic_net,0.12435292429673564,0.21540465146083995,4,0,3,3,0.12780303030303042
tox_renal_toxicity,ecfp,0.147111111111111,xgboost,0.08773575500256811,0.20648646721965389,4,0,4,2,0.05736111111111105
tox_pulmonary_toxicity,morphology+ecfp,0.1460555555555556,linear_svm,0.08774246382823758,0.20436864728287363,4,0,4,4,0.08986111111111106
tox_cardiotoxicity,ecfp,0.1407192460317461,sparse_plsda,0.07024137700073012,0.21119711506276206,4,0,3,3,0.0923809523809524
tox_renal_toxicity,expression,0.1295,linear_svm,0.06503957292344334,0.19396042707655667,4,0,4,2,0.08886111111111106
tox_infertility,morphology+ecfp,0.1292777777777777,linear_svm,0.053507148515184816,0.2050484070403706,4,0,3,2,0.05713888888888895
tox_renal_toxicity,morphology+ecfp,0.1175555555555555,sparse_plsda,0.05346106678939139,0.1816500443217196,4,0,2,2,0.0291111111111111
tox_renal_toxicity,morphology+expression,0.1123333333333335,linear_svm,0.059148090452435464,0.16551857621423152,4,0,4,2,0.0864166666666666
tox_pulmonary_toxicity,ecfp,0.0915555555555556,elastic_net,0.04202779465150624,0.14108331645960495,4,0,4,2,0.0688888888888889
tox_cardiotoxicity,morphology+expression,0.0663095238095238,sparse_plsda,0.013623432591149856,0.11899561502789775,4,0,3,1,0.0300595238095237
tox_pulmonary_toxicity,morphology,0.0642222222222222,sparse_plsda,-0.009049058468572568,0.13749350291301696,4,0,4,0,0.02924999999999995
tox_cardiotoxicity,expression,0.0619047619047619,xgboost,-0.004749436353697907,0.1285589601632217,4,0,3,1,0.04791666666666665
tox_cardiotoxicity,morphology+ecfp,0.0566666666666667,linear_svm,-0.0016906023049181595,0.11502393563825156,4,0,2,0,-0.01571428571428585
tox_infertility,morphology+expression,0.018,sparse_plsda,-0.039819409193697905,0.0758194091936979,4,0,2,0,-0.00211111111111105
tox_infertility,expression,0.0159444444444444,sparse_plsda,-0.04775301140327165,0.07964190029216045,4,0,3,0,0.0078055555555556
tox_pulmonary_toxicity,expression,0.0123333333333333,linear_svm,-0.052643537424295804,0.0773102040909624,4,0,1,0,-0.0486388888888889
tox_liver_toxicity,morphology,0.0122121212121212,sparse_plsda,-0.06381204203406135,0.08823628445830375,4,0,2,0,-0.0043030303030302496
tox_infertility,morphology,0.0114444444444444,sparse_plsda,-0.052899440779603527,0.07578832966849232,4,0,1,0,-0.02325
tox_renal_toxicity,morphology,0.0077222222222222,elastic_net,-0.047337104311937286,0.06278154875638169,4,0,1,0,-0.04133333333333325
tox_pulmonary_toxicity,morphology+expression,0.0066111111111111,linear_svm,-0.06818256230943932,0.08140478453166151,4,0,1,0,-0.04013888888888885
tox_cardiotoxicity,morphology,-0.0052380952380952,xgboost,-0.06613313196088179,0.05565694148469139,4,0,0,0,-0.053273809523809446
