model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,tuned_folds,mean_inner_best,best_params_fold0,target,block,chance,degenerate
elastic_net,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6606666666666666,0.1383939626171925,25,False,20,6.0,25,0.6919841269841269,"{'C': 60.53082080079022, 'l1_ratio': 0.3834415188257777}",moa-fine,ecfp,0.5,False
elastic_net,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.486,0.1313756277075605,25,True,20,4.4,25,0.5983089133089132,"{'C': 0.19628224813442816, 'l1_ratio': 0.7151893663724195}",moa-fine,ecfp,0.5,
sparse_plsda,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6613333333333332,0.1083943417957475,25,False,20,0.3,25,0.6334371184371185,"{'n_components': 1.0, 'keep_x': 149.0}",moa-fine,ecfp,0.5,False
sparse_plsda,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5066666666666666,0.1068747969458759,25,True,20,0.3,25,0.5760805860805861,"{'n_components': 2.0, 'keep_x': 91.0}",moa-fine,ecfp,0.5,
linear_svm,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6659999999999999,0.1471567569332482,25,False,20,0.3,25,0.7047802197802198,{'C': 0.0008462786099990467},moa-fine,ecfp,0.5,False
linear_svm,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.532,0.1502531197679436,25,True,20,0.4,25,0.591043956043956,{'C': 0.0694535625742477},moa-fine,ecfp,0.5,
xgboost,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5826666666666667,0.1311894304685658,25,False,20,3.0,25,0.5842551892551893,"{'max_depth': 2.0, 'n_estimators': 400.0, 'learning_rate': 0.06695371014176119, 'subsample': 0.8676496872090057, 'colsample_bytree': 0.9878696728610378, 'min_child_weight': 1.0, 'reg_alpha': 0.004002543186404072, 'reg_lambda': 0.014485075716641024}",moa-fine,ecfp,0.5,False
xgboost,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.514,0.0666133119829162,25,True,20,2.7,25,0.5318070818070818,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",moa-fine,ecfp,0.5,
elastic_net,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.7233333333333333,0.1477234653744022,25,False,20,6.4,25,0.7381379731379731,"{'C': 1.429790622120306, 'l1_ratio': 0.6798650727233168}",moa-fine,morphology,0.5,False
elastic_net,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.4853333333333333,0.0775055553564459,25,True,20,5.3,25,0.548992673992674,"{'C': 0.19628224813442816, 'l1_ratio': 0.7151893663724195}",moa-fine,morphology,0.5,
sparse_plsda,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.6919999999999998,0.1201961360074071,25,False,20,0.3,25,0.7564041514041514,"{'n_components': 1.0, 'keep_x': 6.0}",moa-fine,morphology,0.5,False
sparse_plsda,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.482,0.1618586488953315,25,True,20,0.3,25,0.5487362637362638,"{'n_components': 1.0, 'keep_x': 19.0}",moa-fine,morphology,0.5,
linear_svm,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.7446666666666667,0.1507551362677607,25,False,20,0.4,25,0.7934065934065935,{'C': 8.66545991290016e-05},moa-fine,morphology,0.5,False
linear_svm,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.4773333333333333,0.1268314717340385,25,True,20,0.5,25,0.5424420024420025,{'C': 1.0146717394418023},moa-fine,morphology,0.5,
xgboost,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.6393333333333332,0.147413251326557,25,False,20,5.0,25,0.6708363858363859,"{'max_depth': 2.0, 'n_estimators': 150.0, 'learning_rate': 0.06954241509602922, 'subsample': 0.7193007567311602, 'colsample_bytree': 0.9895364542533036, 'min_child_weight': 1.0, 'reg_alpha': 0.006847105576684045, 'reg_lambda': 0.0049407977325260895}",moa-fine,morphology,0.5,False
xgboost,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.5166666666666666,0.0795822425754221,25,True,20,5.5,25,0.5398351648351648,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",moa-fine,morphology,0.5,
elastic_net,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6726666666666665,0.1911299732293882,25,False,20,321.5,25,0.703095238095238,"{'C': 0.41359973938398914, 'l1_ratio': 0.5448831829968969}",moa-fine,expression,0.5,False
elastic_net,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4346666666666667,0.1060314418777122,25,True,20,305.6,25,0.5405372405372405,"{'C': 0.034828020870283326, 'l1_ratio': 0.6458941130666561}",moa-fine,expression,0.5,
sparse_plsda,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5780000000000001,0.1470238075959128,25,False,20,13.1,25,0.6243894993894994,"{'n_components': 1.0, 'keep_x': 275.0}",moa-fine,expression,0.5,False
sparse_plsda,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4666666666666666,0.1169639070634849,24,True,20,14.2,24,0.5612535612535612,"{'n_components': 2.0, 'keep_x': 91.0}",moa-fine,expression,0.5,
linear_svm,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.73,0.1762573875520304,25,False,20,17.2,25,0.7235103785103786,{'C': 1.5006703952829317e-05},moa-fine,expression,0.5,False
linear_svm,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.3913333333333333,0.1481080686525889,25,True,20,19.6,25,0.4794139194139194,{'C': 1.2340780149707043e-05},moa-fine,expression,0.5,
xgboost,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4893333333333334,0.0405188570640606,25,False,20,438.3,25,0.5379548229548229,"{'max_depth': 3.0, 'n_estimators': 150.0, 'learning_rate': 0.04884246274247253, 'subsample': 0.6222127960008014, 'colsample_bytree': 0.24307262528096776, 'min_child_weight': 1.0, 'reg_alpha': 0.4220057397195018, 'reg_lambda': 0.0039294251332449084}",moa-fine,expression,0.5,False
xgboost,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,True,20,441.5,25,0.5033333333333334,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",moa-fine,expression,0.5,
elastic_net,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.7266666666666667,0.1423610433604175,25,False,20,311.6,25,0.729053724053724,"{'C': 2.3545983921755114, 'l1_ratio': 0.9888546534340469}",moa-fine,morphology+expression,0.5,False
elastic_net,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4546666666666666,0.1032279032045115,25,True,20,290.4,25,0.5387728937728938,"{'C': 0.034828020870283326, 'l1_ratio': 0.6458941130666561}",moa-fine,morphology+expression,0.5,
sparse_plsda,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5633333333333334,0.1228368384845885,25,False,20,16.5,25,0.6391697191697192,"{'n_components': 2.0, 'keep_x': 24.0}",moa-fine,morphology+expression,0.5,False
sparse_plsda,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4645833333333333,0.1176852853541549,24,True,20,17.4,24,0.5605095136345136,"{'n_components': 2.0, 'keep_x': 91.0}",moa-fine,morphology+expression,0.5,
linear_svm,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.7293333333333334,0.1404184223431289,25,False,20,19.8,25,0.7381318681318682,{'C': 1.3878460745854545e-05},moa-fine,morphology+expression,0.5,False
linear_svm,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.3853333333333333,0.1606459184390039,25,True,20,23.0,25,0.478949938949939,{'C': 0.0694535625742477},moa-fine,morphology+expression,0.5,
xgboost,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5206666666666666,0.0949011181294626,25,False,20,560.6,25,0.5951465201465201,"{'max_depth': 4.0, 'n_estimators': 250.0, 'learning_rate': 0.12358960550136179, 'subsample': 0.5195938961271603, 'colsample_bytree': 0.3545262663187686, 'min_child_weight': 1.0, 'reg_alpha': 0.015295398277813725, 'reg_lambda': 0.003240794406053531}",moa-fine,morphology+expression,0.5,False
xgboost,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.496,0.0135646599662505,25,True,20,595.2,25,0.5088888888888888,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",moa-fine,morphology+expression,0.5,
elastic_net,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.7653333333333333,0.1352298454894891,25,False,20,10.1,25,0.7718986568986569,"{'C': 1.429790622120306, 'l1_ratio': 0.6798650727233168}",moa-fine,morphology+ecfp,0.5,False
elastic_net,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4473333333333333,0.1020544516966854,25,True,20,8.3,25,0.5635042735042735,"{'C': 0.19628224813442816, 'l1_ratio': 0.7151893663724195}",moa-fine,morphology+ecfp,0.5,
sparse_plsda,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6926666666666667,0.1643221767680119,25,False,20,0.4,25,0.7276373626373627,"{'n_components': 1.0, 'keep_x': 149.0}",moa-fine,morphology+ecfp,0.5,False
sparse_plsda,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5033333333333333,0.1188836966675134,25,True,20,0.3,25,0.5806471306471307,"{'n_components': 1.0, 'keep_x': 6.0}",moa-fine,morphology+ecfp,0.5,
linear_svm,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.774,0.1168170459403173,25,False,20,0.4,25,0.7963431013431014,{'C': 2.8280842728576074e-05},moa-fine,morphology+ecfp,0.5,False
linear_svm,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4646666666666666,0.1385095263470671,25,True,20,0.4,25,0.5252625152625152,{'C': 2.8280842728576074e-05},moa-fine,morphology+ecfp,0.5,
