model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,tuned_folds,mean_inner_best,best_params_fold0,target,block,chance,degenerate,permuted_score,gap_vs_permuted
linear_svm,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.7293333333333334,0.1404184223431289,25,False,20,19.8,25,0.7381318681318682,{'C': 1.3878460745854545e-05},moa-fine,morphology+expression,0.5,False,0.3853333333333333,0.3440000000000001
linear_svm,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.73,0.1762573875520304,25,False,20,17.2,25,0.7235103785103786,{'C': 1.5006703952829317e-05},moa-fine,expression,0.5,False,0.3913333333333333,0.33866666666666667
elastic_net,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.7653333333333333,0.1352298454894891,25,False,20,10.1,25,0.7718986568986569,"{'C': 1.429790622120306, 'l1_ratio': 0.6798650727233168}",moa-fine,morphology+ecfp,0.5,False,0.4473333333333333,0.318
linear_svm,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.774,0.1168170459403173,25,False,20,0.4,25,0.7963431013431014,{'C': 2.8280842728576074e-05},moa-fine,morphology+ecfp,0.5,False,0.4646666666666666,0.3093333333333334
elastic_net,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.7266666666666667,0.1423610433604175,25,False,20,311.6,25,0.729053724053724,"{'C': 2.3545983921755114, 'l1_ratio': 0.9888546534340469}",moa-fine,morphology+expression,0.5,False,0.4546666666666666,0.2720000000000001
linear_svm,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.7446666666666667,0.1507551362677607,25,False,20,0.4,25,0.7934065934065935,{'C': 8.66545991290016e-05},moa-fine,morphology,0.5,False,0.4773333333333333,0.2673333333333334
elastic_net,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.7233333333333333,0.1477234653744022,25,False,20,6.4,25,0.7381379731379731,"{'C': 1.429790622120306, 'l1_ratio': 0.6798650727233168}",moa-fine,morphology,0.5,False,0.4853333333333333,0.238
elastic_net,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6726666666666665,0.1911299732293882,25,False,20,321.5,25,0.703095238095238,"{'C': 0.41359973938398914, 'l1_ratio': 0.5448831829968969}",moa-fine,expression,0.5,False,0.4346666666666667,0.23799999999999982
sparse_plsda,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.6919999999999998,0.1201961360074071,25,False,20,0.3,25,0.7564041514041514,"{'n_components': 1.0, 'keep_x': 6.0}",moa-fine,morphology,0.5,False,0.482,0.20999999999999985
sparse_plsda,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6926666666666667,0.1643221767680119,25,False,20,0.4,25,0.7276373626373627,"{'n_components': 1.0, 'keep_x': 149.0}",moa-fine,morphology+ecfp,0.5,False,0.5033333333333333,0.18933333333333335
elastic_net,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6606666666666666,0.1383939626171925,25,False,20,6.0,25,0.6919841269841269,"{'C': 60.53082080079022, 'l1_ratio': 0.3834415188257777}",moa-fine,ecfp,0.5,False,0.486,0.17466666666666664
sparse_plsda,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6613333333333332,0.1083943417957475,25,False,20,0.3,25,0.6334371184371185,"{'n_components': 1.0, 'keep_x': 149.0}",moa-fine,ecfp,0.5,False,0.5066666666666666,0.15466666666666662
xgboost,64,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6606666666666666,0.1433627876713092,25,False,20,6.5,25,0.6744566544566546,"{'max_depth': 2.0, 'n_estimators': 150.0, 'learning_rate': 0.06954241509602922, 'subsample': 0.7193007567311602, 'colsample_bytree': 0.9895364542533036, 'min_child_weight': 1.0, 'reg_alpha': 0.006847105576684045, 'reg_lambda': 0.0049407977325260895}",moa-fine,morphology+ecfp,0.5,False,0.5106666666666667,0.1499999999999999
linear_svm,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6659999999999999,0.1471567569332482,25,False,20,0.3,25,0.7047802197802198,{'C': 0.0008462786099990467},moa-fine,ecfp,0.5,False,0.532,0.1339999999999999
xgboost,64,636,classification,stratified_5fold_x5,balanced_accuracy,0.6393333333333332,0.147413251326557,25,False,20,5.0,25,0.6708363858363859,"{'max_depth': 2.0, 'n_estimators': 150.0, 'learning_rate': 0.06954241509602922, 'subsample': 0.7193007567311602, 'colsample_bytree': 0.9895364542533036, 'min_child_weight': 1.0, 'reg_alpha': 0.006847105576684045, 'reg_lambda': 0.0049407977325260895}",moa-fine,morphology,0.5,False,0.5166666666666666,0.12266666666666659
sparse_plsda,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5780000000000001,0.1470238075959128,25,False,20,13.1,25,0.6243894993894994,"{'n_components': 1.0, 'keep_x': 275.0}",moa-fine,expression,0.5,False,0.4666666666666666,0.11133333333333345
sparse_plsda,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5633333333333334,0.1228368384845885,25,False,20,16.5,25,0.6391697191697192,"{'n_components': 2.0, 'keep_x': 24.0}",moa-fine,morphology+expression,0.5,False,0.4645833333333333,0.09875000000000006
xgboost,64,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5826666666666667,0.1311894304685658,25,False,20,3.0,25,0.5842551892551893,"{'max_depth': 2.0, 'n_estimators': 400.0, 'learning_rate': 0.06695371014176119, 'subsample': 0.8676496872090057, 'colsample_bytree': 0.9878696728610378, 'min_child_weight': 1.0, 'reg_alpha': 0.004002543186404072, 'reg_lambda': 0.014485075716641024}",moa-fine,ecfp,0.5,False,0.514,0.06866666666666665
xgboost,64,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5206666666666666,0.0949011181294626,25,False,20,560.6,25,0.5951465201465201,"{'max_depth': 4.0, 'n_estimators': 250.0, 'learning_rate': 0.12358960550136179, 'subsample': 0.5195938961271603, 'colsample_bytree': 0.3545262663187686, 'min_child_weight': 1.0, 'reg_alpha': 0.015295398277813725, 'reg_lambda': 0.003240794406053531}",moa-fine,morphology+expression,0.5,False,0.496,0.024666666666666615
xgboost,64,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4893333333333334,0.0405188570640606,25,False,20,438.3,25,0.5379548229548229,"{'max_depth': 3.0, 'n_estimators': 150.0, 'learning_rate': 0.04884246274247253, 'subsample': 0.6222127960008014, 'colsample_bytree': 0.24307262528096776, 'min_child_weight': 1.0, 'reg_alpha': 0.4220057397195018, 'reg_lambda': 0.0039294251332449084}",moa-fine,expression,0.5,False,0.5,-0.010666666666666602
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5179811507936508,0.146231334445183,24,False,20,0.4,24,0.5743441358024691,"{'n_components': 3.0, 'keep_x': 42.0}",tox_cardiotoxicity,ecfp,0.5,False,0.3772619047619047,0.14071924603174613
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5419047619047619,0.121340771245447,25,False,20,0.4,25,0.574462962962963,{'C': 0.00043812421694790606},tox_cardiotoxicity,ecfp,0.5,False,0.4408333333333333,0.10107142857142859
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5233333333333333,0.0963354929965293,25,False,20,6.0,25,0.5826296296296296,"{'C': 9.636436344021249, 'l1_ratio': 0.4370182935190969}",tox_cardiotoxicity,ecfp,0.5,False,0.439642857142857,0.08369047619047632
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5545238095238095,0.0963025337389165,25,False,20,13.3,25,0.5921851851851853,"{'n_components': 2.0, 'keep_x': 91.0}",tox_cardiotoxicity,morphology+expression,0.5,False,0.4882142857142857,0.06630952380952382
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5778571428571428,0.0977883259358825,25,False,20,627.4,25,0.5953703703703703,"{'max_depth': 4.0, 'n_estimators': 250.0, 'learning_rate': 0.12358960550136179, 'subsample': 0.5195938961271603, 'colsample_bytree': 0.3545262663187686, 'min_child_weight': 1.0, 'reg_alpha': 0.015295398277813725, 'reg_lambda': 0.003240794406053531}",tox_cardiotoxicity,expression,0.5,False,0.5159523809523809,0.06190476190476191
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4695238095238095,0.0994039777556753,25,False,20,0.5,25,0.4946296296296296,{'C': 0.0694535625742477},tox_cardiotoxicity,morphology+ecfp,0.5,False,0.4128571428571428,0.0566666666666667
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5426190476190477,0.0936841983738096,25,False,20,17.9,25,0.5939444444444445,"{'n_components': 2.0, 'keep_x': 121.0}",tox_cardiotoxicity,expression,0.5,False,0.4871428571428571,0.05547619047619057
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.545952380952381,0.1132739190000221,25,False,20,463.1,25,0.5823703703703703,"{'max_depth': 3.0, 'n_estimators': 50.0, 'learning_rate': 0.035504155773912305, 'subsample': 0.6552551230259499, 'colsample_bytree': 0.12495042392317174, 'min_child_weight': 2.0, 'reg_alpha': 0.7262934708242144, 'reg_lambda': 0.05495816702873804}",tox_cardiotoxicity,morphology+expression,0.5,False,0.4991666666666666,0.046785714285714375
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.569047619047619,0.1012184835190474,25,False,20,26.6,25,0.5657407407407408,{'C': 1.5006703952829317e-05},tox_cardiotoxicity,expression,0.5,False,0.5286904761904762,0.04035714285714287
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5477380952380951,0.104204006912831,25,False,20,20.0,25,0.5598148148148148,{'C': 1.5006703952829317e-05},tox_cardiotoxicity,morphology+expression,0.5,False,0.5344047619047619,0.013333333333333197
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4652380952380952,0.0833321428486393,25,False,20,9.4,25,0.5294814814814814,"{'C': 0.49192475175920786, 'l1_ratio': 0.5150110376051357}",tox_cardiotoxicity,morphology+ecfp,0.5,False,0.4585714285714286,0.006666666666666599
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4698809523809524,0.1111560566691728,25,False,20,5.3,25,0.5403148148148148,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",tox_cardiotoxicity,morphology,0.5,False,0.4751190476190476,-0.005238095238095208
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5203571428571427,0.0675991335531962,25,False,20,328.6,25,0.5825925925925926,"{'C': 5.627949975223147, 'l1_ratio': 0.5288949197529045}",tox_cardiotoxicity,expression,0.5,False,0.5446428571428572,-0.024285714285714466
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4827380952380952,0.0609356375812844,25,False,20,4.8,25,0.5040925925925925,"{'C': 0.034828020870283326, 'l1_ratio': 0.6458941130666561}",tox_cardiotoxicity,morphology,0.5,False,0.5095238095238094,-0.02678571428571419
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4820238095238094,0.0994830743703058,25,False,20,3.1,25,0.554,"{'max_depth': 2.0, 'n_estimators': 100.0, 'learning_rate': 0.041857485695196456, 'subsample': 0.6525312143044206, 'colsample_bytree': 0.3128719312488425, 'min_child_weight': 1.0, 'reg_alpha': 0.0011332998948390667, 'reg_lambda': 0.0010106350267778666}",tox_cardiotoxicity,ecfp,0.5,False,0.5175,-0.03547619047619055
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4004761904761904,0.1286983500520595,25,False,20,0.4,25,0.528537037037037,"{'n_components': 3.0, 'keep_x': 293.0}",tox_cardiotoxicity,morphology+ecfp,0.5,False,0.4385714285714286,-0.03809523809523824
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5071428571428571,0.0650364018076853,25,False,20,320.4,25,0.5745370370370371,"{'C': 5.627949975223147, 'l1_ratio': 0.5288949197529045}",tox_cardiotoxicity,morphology+expression,0.5,False,0.5473809523809524,-0.040238095238095295
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4272619047619047,0.1033079571649998,25,False,20,6.3,25,0.529074074074074,"{'max_depth': 2.0, 'n_estimators': 350.0, 'learning_rate': 0.15982018746270682, 'subsample': 0.6535966745247906, 'colsample_bytree': 0.5560348904850134, 'min_child_weight': 4.0, 'reg_alpha': 0.5571456505972306, 'reg_lambda': 0.015343115969491299}",tox_cardiotoxicity,morphology+ecfp,0.5,False,0.4884523809523809,-0.06119047619047624
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4236904761904762,0.1264145584557774,25,False,20,0.3,25,0.4867222222222221,"{'n_components': 3.0, 'keep_x': 12.0}",tox_cardiotoxicity,morphology,0.5,False,0.503452380952381,-0.07976190476190481
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4051190476190476,0.1269025283462874,25,False,20,0.5,25,0.4786296296296296,{'C': 2.8280842728576074e-05},tox_cardiotoxicity,morphology,0.5,False,0.5166666666666666,-0.111547619047619
