sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:5232","HSPA1A","heat shock protein family A (Hsp70) member 1A","HSPA1","HSP70-1","6p21.33"
"HGNC:5233","HSPA1B","heat shock protein family A (Hsp70) member 1B","","HSP70-2","6p21.33"
"HGNC:5234","HSPA1L","heat shock protein family A (Hsp70) member 1 like","","HSP70-HOM,hum70t","6p21.33"
"HGNC:5235","HSPA2","heat shock protein family A (Hsp70) member 2","","","14q23.3"
"HGNC:5237","HSPA4","heat shock protein family A (Hsp70) member 4","","HS24/P52,HSPH2","5q31.1"
"HGNC:17041","HSPA4L","heat shock protein family A (Hsp70) member 4 like","","APG-1,Osp94,HSPH3","4q28.1"
"HGNC:5238","HSPA5","heat shock protein family A (Hsp70) member 5","GRP78","BiP","9q33.3"
"HGNC:5239","HSPA6","heat shock protein family A (Hsp70) member 6","","HSP70B'","1q23.3"
"HGNC:5240","HSPA7","heat shock protein family A (Hsp70) member 7 (pseudogene)","","HSP70B","1q23.3"
"HGNC:5241","HSPA8","heat shock protein family A (Hsp70) member 8","HSPA10","HSC71,HSC70,HSP73","11q24.1"
"HGNC:5244","HSPA9","heat shock protein family A (Hsp70) member 9","HSPA9B","GRP75,PBP74,mot-2,mthsp75","5q31.2"
"HGNC:19022","HSPA12A","heat shock protein family A (Hsp70) member 12A","","FLJ13874,KIAA0417","10q25.3"
"HGNC:16193","HSPA12B","heat shock protein family A (Hsp70) member 12B","C20orf60","dJ1009E24.2","20p13"
"HGNC:11375","HSPA13","heat shock protein family A (Hsp70) member 13","STCH","","21q11.2"
"HGNC:29526","HSPA14","heat shock protein family A (Hsp70) member 14","","HSP70-4,HSP70L1","10p13"
"HGNC:16969","HSPH1","heat shock protein family H (Hsp110) member 1","","HSP105B,KIAA0201,HSP105A,NY-CO-25","13q12.3"
"HGNC:16931","HYOU1","hypoxia up-regulated 1","","ORP150,HSP12A,Grp170","11q23.3"
